symbol,description,sector,price,volume_1d,liquidity_value_1d,coverage_score,perf_1m,perf_3m,perf_6m,perf_1y,perf_ytd,revenue_growth_ttm,eps_growth_ttm,roe_ttm,net_margin_ttm,operating_margin_ttm,fcf_margin_ttm,debt_to_equity,vol_1m,momentum_score,fundamental_growth_score,quality_score,risk_score,growth_potential_score_aggressive,rank
TIP,Initiates PLC,Commercial services,32.3,6758600.0,218302779.99999997,1.0,66.49484536082474,60.69651741293529,210.57692307692307,393.3835682531332,142.8571428571428,153.94843702488677,176.05633802816908,82.8113452673717,28.6059123696569,42.4339405565573,30.5435908556455,0.014206416530946,5.377890011026132,88.63309352517986,91.9799186789478,84.3403192846181,47.88169464428458,86.05477569461847,1
INFINITY,Infinity Trust Mortgage Bank Plc,Finance,9.35,138814.0,1297910.9,0.9285714285714286,-1.5789473684210564,88.88888888888887,167.14285714285714,174.99999999999997,167.14285714285714,55.90940345605644,72.4943820224719,28.9895482407565,61.11705790004599,63.26913206503591,,1.84573941001378,1.2212453270876722e-15,80.41666666666667,84.02777777777777,85.83333333333333,53.33333333333333,80.84821428571428,2
BERGER,Berger Paints Nigeria PLC,Process industries,168.95,2013026.0,340100742.7,1.0,140.31847499999986,125.26666666666664,351.1348464619492,687.6456876456876,251.97916666666663,16.987734416578796,118.81414753008934,35.8568494812065,12.8147615319619,18.43833727459,20.330140490172077,0.0332092657538575,1.2839791073837628,91.875,76.42857142857143,64.92673992673993,56.69642857142857,80.49347527472528,3
UNILEVER,Unilever Nigeria PLC,Consumer non-durables,172.0,1706686.0,293549992.0,1.0,71.74238642036943,101.16959064327486,134.01360544217687,300.0,138.88888888888889,37.76253450463308,85.95227517928538,32.8237074171983,14.8638339534519,19.006454556224,19.08656277481405,0.018989656391311,0.8223310020849801,84.61538461538461,71.25,72.02020202020202,76.92307692307692,79.4857226107226,4
BUACEMENT,BUA Cement Plc,Non-energy minerals,435.0,1905500.0,828892500.0,1.0,33.149678604224064,126.5625,158.92857142857142,419.7132616487455,143.69747899159665,23.59902989671828,229.25828927212527,68.4320055970737,36.2890425845529,46.0116150535818,33.43269270426791,0.591100913208497,0.1270278543005806,85.0,87.5,70.83333333333333,25.0,79.125,5
CAP,Chemical & Allied Products Plc,Process industries,233.7,107261.0,25066895.7,1.0,140.31847499999986,114.40366972477062,220.13698630136983,484.25,238.69565217391303,23.35671779423792,54.31032710376446,49.147968626699,13.6329945119175,17.3145704667908,17.707842657147857,0.0005586053437454,1.732144892101707,85.625,75.71428571428572,66.31868131868131,64.73214285714286,79.10405219780219,6
WEMABANK,Wema Bank PLC,Finance,32.5,2996602.0,97389565.0,1.0,25.0,25.482625482625487,63.31658291457288,124.9134948096886,58.92420537897311,53.588914585676925,57.10318553199303,46.2828714923772,43.639476619098566,50.164146735712855,116.733404035058,0.224578666089897,4.904044788223896,76.66666666666666,80.13888888888889,86.47727272727272,50.41666666666667,78.88825757575756,7
IKEJAHOTEL,Ikeja Hotel PLC,Consumer services,39.6,158541.0,6278223.600000001,1.0,1.538461538461542,4.347826086956518,120.0,193.33333333333331,-0.9999999999999964,25.887028715518785,67.88200360220026,19.0267417171706,28.2468411631827,35.4133116333532,54.631766908941785,0.0,0.3773839207493769,55.0,86.60714285714286,90.17857142857143,93.75,78.13392857142858,8
MTNN,MTN Nigeria Communications Plc,Communications,835.0,4170007.0,3481955845.0,1.0,14.540466392318244,19.251642387889166,75.78947368421052,199.92816091954023,63.40508806262231,54.04348360152316,968.4180487477338,430.67075332243195,23.6503921637423,42.0728735957256,28.531662114370548,3.0531052945992,0.8755526094926498,68.77697841726619,93.04622023068626,82.69972891532525,33.55981881161737,77.74674973370958,9
CUSTODIAN,Custodian Investment Plc,Finance,81.25,892878.0,72546337.5,1.0,15.24822695035461,47.99635701275046,105.69620253164555,350.1385041551246,88.95348837209302,28.353930704596248,73.67646893702069,52.007279674225,37.2893846732887,30.7672200563689,46.70446919087432,0.6338227085717241,0.3238374407272797,85.41666666666666,69.16666666666667,73.67424242424242,60.0,77.69696969696969,10
