symbol,price,sma_50,sma_200,above_sma50,above_sma200,golden_cross,death_cross,rsi_14,macd,macd_signal,macd_histogram,bb_position,mom_1m,mom_3m,mom_6m,mom_12m,volatility_20d,volatility_1y,sharpe_1y,sortino_1y,max_drawdown_1y,avg_volume_20d,volume_ratio,mom_score,trend_score,rsi_score,sharpe_score,dd_score,composite_score,signal
AFH,781.0,724.52,790.9604666137695,True,False,False,False,66.96428571428571,18.89053786314014,12.248476727843315,6.642061135296824,0.7722809680898814,5.5405405405405395,-6.467065868263477,-3.788835511359112,-11.179438454927116,40.73262403264726,35.671764978682944,-0.44153272725251325,-0.6751369981209746,-30.276870797468764,92537.75,1.1240169552425903,0.3,0.3,0.7,0.2,0.5,0.37499999999999994,HOLD
AFT,3180.0,3504.64,3923.177125244141,False,False,False,False,41.32947976878612,-91.90530193207223,-90.08711315697012,-1.818188775102115,0.2461118793244788,-13.375102152002183,-23.188405797101453,-24.569202403494963,-37.049569752120306,36.31732431575987,43.74452622403042,-1.1036895000701483,-1.8483547211624192,-41.20436688011392,523197.65,0.6620729278887243,0.3,0.3,0.9,0.2,0.2,0.36,SELL
AGL,84855.0,76832.58734375,67904.58919921875,True,True,False,False,50.53715804629527,3169.958325980697,2890.9437933933764,279.01453258732045,0.5966464298593112,6.097926929905717,7.061504988591971,31.5138874056186,67.6904566674134,46.01156622711069,35.11483478339807,1.3150968288969391,2.3061470390026177,-20.587067016093112,853065.75,1.261072783662924,1.0,0.9,0.9,0.8,0.5,0.855,BUY
AME,4011.0,4075.930400009155,4275.764923210144,False,False,False,False,46.63212435233161,27.468968701228732,-1.8767016316982597,29.345670332926993,0.5465165685249872,0.2248875562218977,-10.866666666666669,-4.497268685837142,4.279123586113132,35161.649091748106,19685.398655536013,1.9922240255084422,79.59237450563367,-99.21456121896925,363.65,0.0,0.5,0.3,0.9,0.8,0.2,0.51,SELL
ANG,155606.0,165427.310625,141738.751015625,False,True,False,False,46.81870836953374,-497.81009916748735,-573.9309357551753,76.1208365876879,0.23865209125308792,-10.859689624949153,-11.837101813137341,17.311122228495556,113.1645389170711,54.23971181061672,52.23355189254497,1.6028717187162216,2.316422658806575,-29.892941315835518,1078607.6,0.8373712553110139,1.0,0.7,0.9,0.8,0.5,0.8049999999999999,HOLD
ANH,134394.0,122990.3209375,112899.3612890625,True,True,False,False,74.85382550982287,3191.064708943886,2501.677968513408,689.3867404304783,0.8548308801395406,8.359469259804108,5.521224771187794,21.93357034246297,10.722676782542372,35.97066749827924,23.436163606134986,0.23169262111094854,0.3024318504357967,-21.720671592010433,312614.1,0.8281936099491354,0.7,0.9,0.4,0.5,0.5,0.6449999999999999,HOLD
ANI,480.0,412.69739999771116,396.3946843099594,True,True,False,False,0.0,23.43234163321756,30.253692775443188,-6.821351142225627,-0.23047580193718253,-3.6144578313253017,-3.8076152304609256,11876.646660634518,12284.797045954754,13.571886303382193,27616.919401536437,2.8440674729557514,112.25878752005868,-99.24000003603052,375.85,0.0,1.0,0.9,0.8,1.0,0.2,0.8250000000000001,HOLD
AOO,20.0,204.61520034790038,136.0280004119873,False,False,False,False,50.02498750047282,-17.25242945221629,116.27609798408591,-133.5285274363022,0.35988951137859676,10.987788523519558,10.987788523519558,10.987788523519558,23.076923076923084,35159.75028052781,13974.498449531626,1.4036803394642525,68791157133.27089,-99.0,617.5,0.0,0.8,0.3,0.9,0.8,0.2,0.6000000000000001,BUY
APF,50.0,63.82,54.78,False,False,False,False,0.0,-3.405955197660191,-2.4782529189419256,-0.9277022787182654,-0.02355651244661236,-18.032786885245898,-31.506849315068497,0.0,0.0,40.82375150089252,48.33183355071273,0.07527216482730283,0.10674658153820661,-40.0,575217.65,0.01916665804674109,0.5,0.3,0.8,0.5,0.2,0.44999999999999996,SELL
APH,1700.0,1622.3,1469.3023840332032,True,True,False,False,41.007194244604314,38.329663130184144,54.07013825978225,-15.740475129598103,0.043826353548191456,-2.9126213592232997,9.677419354838701,22.836010257032658,50.58746998149988,29.90966247404645,51.50361675219513,0.868799778529601,1.2189727061582887,-22.88888888888889,58410.75,0.16361714239245345,1.0,0.9,0.9,0.5,0.5,0.8099999999999999,BUY
APN,14045.0,13626.54,11358.62548828125,True,True,False,False,54.42097026604069,245.20728984146808,290.3440212513287,-45.1367314098606,0.5313456493585108,5.2927505810030695,19.44042860787483,47.068062827225134,16.794647128562488,30.876248957671404,38.77867542253279,0.31948131214132475,0.6952751789967814,-27.675943146945574,1443481.2,1.066761382136463,0.8,0.9,0.9,0.5,0.5,0.7499999999999999,BUY
ARI,20500.0,22880.9325,20321.56908203125,False,True,False,False,31.342844535961177,-307.0232617760703,-128.26777127300215,-178.75549050306813,-0.19895175845396712,-13.923412831709769,-10.500776126082034,15.777930957039832,33.412937063692596,42.711715144620236,43.69348122150535,0.7132851383631141,1.0181453228293316,-23.468677208292508,439815.9,1.1602081689179495,0.9,0.7,0.9,0.5,0.5,0.73,HOLD
ARL,23655.0,25248.42,23911.991015625,False,False,False,False,35.873850197109064,-438.7382680467126,-420.41588096519433,-18.322387081518286,0.15548572260839097,-6.818718978964789,-15.439336526774861,6.800458828857692,28.330618843325283,14.882125187968558,24.059251850061862,0.9449669450915169,1.521047201780796,-16.000852242462983,133888.15,2.536998233226764,0.8,0.3,0.9,0.5,0.8,0.645,SELL
ART,3760.0,3416.86,3144.4114379882812,True,True,False,False,71.08843537414967,113.61206655697424,110.18155472467451,3.430511832299729,0.7211366460063715,12.946830880144189,11.242603550295849,31.956806888881207,48.74161811135031,24.419872122879845,25.568607217887536,1.367681105541917,2.0975373844749186,-8.160280783854928,37017.2,0.4555990188344878,0.9,0.9,0.4,0.8,1.0,0.825,BUY
