symbol,yahoo,status,days,last_close,from,to
MTU,MTU.JO,OK,1249,37.0,2021-05-17,2026-05-15
N91,N91.JO,OK,1249,4846.0,2021-05-17,2026-05-15
NCS,NCS.JO,OK,1248,250.0,2021-05-17,2026-05-14
NPH,NPH.JO,OK,1163,33474.0,2021-09-16,2026-05-15
NPK,NPK.JO,OK,1249,48500.0,2021-05-17,2026-05-15
NRL,NRL.JO,OK,1249,480.0,2021-05-17,2026-05-15
NTU,NTU.JO,OK,295,100.0,2025-03-10,2026-05-15
NVS,NVS.JO,OK,1249,541.0,2021-05-17,2026-05-15
NWL,NWL.JO,OK,1248,3050.0,2021-05-17,2026-05-14
NY1,NY1.JO,OK,1249,4646.0,2021-05-17,2026-05-15
OAO,OAO.JO,OK,1249,15.0,2021-05-17,2026-05-15
OAS,OAS.JO,OK,1249,2870.0,2021-05-17,2026-05-15
OCE,OCE.JO,OK,1249,5320.0,2021-05-17,2026-05-15
OCT,OCT.JO,OK,1249,1682.0,2021-05-17,2026-05-15
OMN,OMN.JO,OK,1249,9727.0,2021-05-17,2026-05-15
OPA,OPA.JO,OK,131,1700.0,2025-11-04,2026-05-15
ORN,ORN.JO,OK,1249,33.0,2021-05-17,2026-05-15
OUT,OUT.JO,OK,1249,6975.0,2021-05-17,2026-05-15
PAN,PAN.JO,OK,1249,3087.0,2021-05-17,2026-05-15
PBT,PBT.JO,OK,131,660.0,2025-11-03,2026-05-14
PHP,PHP.JO,OK,636,2015.0,2023-10-26,2026-05-15
PMR,PMR.JO,OK,783,17664.0,2023-03-24,2026-05-15
PMV,PMV.JO,OK,1249,275.0,2021-05-17,2026-05-15
PPC,PPC.JO,OK,1249,668.0,2021-05-17,2026-05-15
PPE,PPE.JO,OK,1249,185.0,2021-05-17,2026-05-15
PPH,PPH.JO,OK,1249,2188.0,2021-05-17,2026-05-15
PPR,PPR.JO,OK,1248,580.0,2021-05-17,2026-05-14
PWR,PWR.JO,OK,529,5400.0,2024-04-02,2026-05-14
QFH,QFH.JO,OK,1248,951.0,2021-05-17,2026-05-14
QLT,QLT.JO,OK,1249,3993.0,2021-05-17,2026-05-15
RBO,RBO.JO,OK,472,600.0,2024-06-26,2026-05-15
RBX,RBX.JO,OK,1249,5000.0,2021-05-17,2026-05-15
RCL,RCL.JO,OK,1249,858.0,2021-05-17,2026-05-15
RDF,RDF.JO,OK,1249,622.0,2021-05-17,2026-05-15
REM,REM.JO,OK,1249,18700.0,2021-05-17,2026-05-15
RES,RES.JO,OK,1249,8369.0,2021-05-17,2026-05-15
RHB,RHB.JO,OK,1248,170.0,2021-05-17,2026-05-14
RLO,RLO.JO,OK,1249,6101.0,2021-05-17,2026-05-15
RMH,RMH.JO,OK,1249,48.0,2021-05-17,2026-05-15
RNG,RNG.JO,OK,1248,101.0,2021-05-17,2026-05-15
RNI,RNI.JO,OK,1249,57142.0,2021-05-17,2026-05-15
S32,S32.JO,OK,1249,4925.0,2021-05-17,2026-05-15
SAC,SAC.JO,OK,1249,339.0,2021-05-17,2026-05-15
SAP,SAP.JO,OK,1249,1486.0,2021-05-17,2026-05-15
SBP,SBP.JO,OK,1249,15700.0,2021-05-17,2026-05-15
SCD,SCD.JO,OK,1248,199400.0,2021-05-17,2026-05-14
SDL,SDL.JO,OK,981,1841.0,2022-06-09,2026-05-14
SDO,SDO.JO,OK,1249,1192.0,2021-05-17,2026-05-15
SEA,SEA.JO,OK,1249,1300.0,2021-05-17,2026-05-15
SEP,SEP.JO,OK,1249,203.0,2021-05-17,2026-05-15
SHC,SHC.JO,OK,690,2857.0,2023-08-02,2026-05-15
SHG,SHG.JO,OK,1249,822.0,2021-05-17,2026-05-15
SKA,SKA.JO,OK,247,64.0,2025-05-21,2026-05-14
SNT,SNT.JO,OK,1249,38300.0,2021-05-17,2026-05-15
SNV,SNV.JO,OK,1249,768.0,2021-05-17,2026-05-15
SOH,SOH.JO,OK,1248,95.0,2021-05-17,2026-05-14
SOLBE1,SOLBE1.JO,OK,1248,10000.0,2021-05-17,2026-05-14
SPG,SPG.JO,OK,1249,1633.0,2021-05-17,2026-05-15
SRE,SRE.JO,OK,1249,2190.0,2021-05-17,2026-05-15
SRI,SRI.JO,OK,352,1772.0,2024-12-13,2026-05-15
SSK,SSK.JO,OK,1249,720.0,2021-05-17,2026-05-15
SSS,SSS.JO,OK,1249,1771.0,2021-05-17,2026-05-15
SSU,SSU.JO,OK,1249,1020.0,2021-05-17,2026-05-15
SUI,SUI.JO,OK,1249,4719.0,2021-05-17,2026-05-15
SUR,SUR.JO,OK,1249,4200.0,2021-05-17,2026-05-15
SYG,SYG.JO,OK,1249,3200.0,2021-05-17,2026-05-15
SZK,SZK.JO,OK,1239,3400.0,2021-05-28,2026-05-14
TEX,TEX.JO,OK,1248,261.0,2021-05-17,2026-05-14
TGA,TGA.JO,OK,1234,12923.0,2021-06-07,2026-05-15
THA,THA.JO,OK,1249,2893.0,2021-05-17,2026-05-15
TKG,TKG.JO,OK,1249,5700.0,2021-05-17,2026-05-15
