symbol,status,days,last_close,from,to
SBK,OK,500,30592.0,2024-05-15,2026-05-15
FSR,OK,500,8776.0,2024-05-15,2026-05-15
ABG,OK,500,23018.0,2024-05-15,2026-05-15
NED,OK,500,25585.0,2024-05-15,2026-05-15
CPI,OK,500,428500.0,2024-05-15,2026-05-15
INL,OK,500,13125.0,2024-05-15,2026-05-15
INP,OK,500,13317.0,2024-05-15,2026-05-15
AGL,OK,500,84855.0,2024-05-15,2026-05-15
BHG,OK,500,70413.0,2024-05-15,2026-05-15
ANG,OK,500,155606.0,2024-05-15,2026-05-15
GFI,OK,500,67824.0,2024-05-15,2026-05-15
IMP,OK,500,24246.0,2024-05-15,2026-05-15
AMS,NO DATA,0,,,
SSW,OK,500,5089.0,2024-05-15,2026-05-15
EXX,OK,500,21025.0,2024-05-15,2026-05-15
KIO,OK,500,31541.0,2024-05-15,2026-05-15
HAR,OK,500,26509.0,2024-05-15,2026-05-15
NHM,NO DATA,0,,,
RBP,NO DATA,0,,,
MTN,OK,500,20810.0,2024-05-15,2026-05-15
VOD,OK,500,15395.0,2024-05-15,2026-05-15
NPN,OK,500,86842.0,2024-05-15,2026-05-15
PRX,OK,500,76300.0,2024-05-15,2026-05-15
MCG,NO DATA,0,,,
SHP,OK,500,29297.0,2024-05-15,2026-05-15
PIK,OK,500,2250.0,2024-05-15,2026-05-15
WHL,OK,500,5065.0,2024-05-15,2026-05-15
MRP,OK,500,15250.0,2024-05-15,2026-05-15
TFG,OK,500,5807.0,2024-05-15,2026-05-15
TRU,OK,500,5079.0,2024-05-15,2026-05-15
SPP,OK,500,6180.0,2024-05-15,2026-05-15
CFR,OK,500,330500.0,2024-05-15,2026-05-15
BTI,OK,500,108000.0,2024-05-15,2026-05-15
ANH,OK,500,134394.0,2024-05-15,2026-05-15
AVI,OK,500,9465.0,2024-05-15,2026-05-15
TBS,OK,500,28613.0,2024-05-15,2026-05-15
CLH,OK,500,425.0,2024-05-15,2026-05-15
DCP,OK,500,3700.0,2024-05-15,2026-05-15
APN,OK,500,14045.0,2024-05-15,2026-05-15
NTC,OK,500,1665.0,2024-05-15,2026-05-15
MEI,NO DATA,0,,,
SLM,OK,500,8560.0,2024-05-15,2026-05-15
DSY,OK,500,26500.0,2024-05-15,2026-05-15
OMU,OK,500,1279.0,2024-05-15,2026-05-15
MMI,NO DATA,0,,,
LBH,NO DATA,0,,,
PSG,NO DATA,0,,,
SOL,OK,500,22472.0,2024-05-15,2026-05-15
BID,OK,500,41498.0,2024-05-15,2026-05-15
BAW,NO DATA,0,,,
NRP,OK,500,14176.0,2024-05-15,2026-05-15
GLN,OK,500,12750.0,2024-05-15,2026-05-15
SNH,NO DATA,0,,,
BVT,OK,500,23363.0,2024-05-15,2026-05-15
GRT,OK,500,1645.0,2024-05-15,2026-05-15
RMI,NO DATA,0,,,
