Symbol,Description,Market capitalization,Market capitalization - Currency,Market capitalization performance % 1 year,Price to earnings ratio,"Price to earning to growth, Trailing 12 months",Price to sales ratio,Price to book ratio,Price to cash flow ratio,Price to free cash flow ratio,Price to cash ratio,Enterprise value,Enterprise value - Currency,"Enterprise value to revenue ratio, Trailing 12 months","Enterprise value to EBIT ratio, Trailing 12 months","Enterprise value to EBITDA ratio, Trailing 12 months"
BHG,BHP Group Ltd,3775377415244.6006,ZAR,46.76640517623439,20.258822203138624,,3.7376156060208836,4.245313607570273,10.310500868620002,19.839623902330153,15.520704686737714,4096636668951.183,ZAR,4.401035086710324,10.752754305782315,8.512680373176408
ANH,Anheuser-Busch InBev SA/NV,2675174742319.765,ZAR,1.7423120474398062,22.65636170936794,1.6680833224760843,2.6636427993004195,1.7928162642163397,10.74734313633918,14.247145977736396,13.486011837279268,3867435649139.9077,ZAR,3.761153951697199,14.831500482578429,10.785928781221395
BTI,British American Tobacco p.l.c.,2385331821843.015,ZAR,19.29027829076763,13.903355604420907,0.08905627592888585,4.2321519867573425,2.201087381436998,21.63984899311838,24.373355823748426,27.664995603224206,3091399341843.015,ZAR,5.376067437615441,13.370990295943617,10.719486692411355
CFR,Compagnie Financiere Richemont SA,1943182583122.7266,ZAR,-4.345142489577896,22.985884007952148,0.11825049923170189,4.565116027629581,4.263500445460648,18.798123992713474,23.9909358985736,5.686311937811473,1906663560426.3245,ZAR,4.239908859715671,19.875258603658406,14.826369021643831
GLN,Glencore plc,1549011667348.4478,ZAR,102.82443875186385,268.7406423433261,,0.3840780454158699,2.2973380249423405,14.488485286122028,236.57038342459413,31.225383768923994,2104681796092.1123,ZAR,0.49969802869730306,50.69574362857225,12.440346317329329
PRX,Prosus N.V. Class N,1492547748436.5308,ZAR,-11.755826318857572,7.0922559970811685,0.09164938910545352,14.163049486028692,1.7432970867089421,46.95439587534316,49.06246326308239,4.421655418792862,1416926541997.406,ZAR,11.244712570720017,324.57646974257375,177.5192778479391
AGL,Anglo American plc,974419683549.418,ZAR,36.92808836469611,,-0.6171138850126148,3.0999280516758003,3.0018661741242214,10.663019536678705,31.63739256082202,8.381256656124817,1227907558845.717,ZAR,3.889891238906762,19.33710507182257,11.958954801584596
ANG,Anglogold Ashanti PLC,854827744676.617,ZAR,106.18568052218336,13.671263239738286,,4.587294762894173,5.512739192984697,8.185801218055735,11.759061505155415,14.805298966934842,871028766823.3375,ZAR,4.579024593605813,9.433466533677105,
NPN,Naspers Limited Class N,653812589535,ZAR,-13.780276188697158,6.884510190370967,0.08015932351440493,4.825971325410604,1.610077290374458,19.564034127850178,20.730283162578854,1.7867983856031846,1123270367035,ZAR,7.912590846281599,310.78475970022714,140.09064022906998
GFI,Gold Fields Limited,652114632824,ZAR,66.21560481606858,9.849286338730353,0.059243966097645054,4.236244050269064,4.391944636353935,7.819861757681434,11.39405977066725,20.89919963523767,679982058824,ZAR,4.3704699990423075,9.024255478363818,7.371457589181249
CPI,Capitec Bank Holdings Limited,503196459974,ZAR,28.444671637405918,29.530757078808247,1.3360402817155044,7.549434683214695,8.368503862732712,14.229860074375145,14.67182661509054,,485824600974,ZAR,6.373659706443942,,
FSR,FirstRand Limited,501924696533,ZAR,21.382358524233133,11.181689728477412,1.0752873947895643,3.2690589369297496,2.208164224672666,6.175517317179652,6.92760607691808,,367187696533,ZAR,1.411136889218968,,
