Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short-term investments, Quarterly","Cash and short-term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
VKE,Vukile Property Fund Limited,2025-H1,2025-09-30,58057000000,ZAR,,,2344000000,ZAR,26770000000,ZAR,24780000000,ZAR,22436000000,ZAR,31287000000,ZAR,0.829477292202228,0.829477292202228,0.835102618542109,0.09459241323648103
DCP,Dis-Chem Pharmacies Limited,2025-H1,2025-08-31,19369697000,ZAR,11570595000,ZAR,418257000,ZAR,13723551000,ZAR,5446398000,ZAR,5028141000,ZAR,5646146000,ZAR,1.17044506084939,0.408587529564357,0.967939653035165,0.07679515892889209
AVI,AVI Limited Class Y,2026-H1,2025-12-31,10577700000,ZAR,5712900000,ZAR,487300000,ZAR,5007000000,ZAR,2636000000,ZAR,2148700000,ZAR,5570700000,ZAR,1.47334622823985,0.696892327530625,0.473190083831475,0.18486342943854325
PMR,Premier Group Limited,2025-H1,2025-09-30,11794440000,ZAR,4802726000,ZAR,391048000,ZAR,6328685000,ZAR,2625852000,ZAR,2234804000,ZAR,5465755000,ZAR,1.35093559666632,0.712598847124604,0.481049237413377,0.14892233073303446
TKG,Telkom SA SOC Ltd.,2025-H1,2025-09-30,62009000000,ZAR,17639000000,ZAR,5973000000,ZAR,28118000000,ZAR,13532000000,ZAR,7559000000,ZAR,33891000000,ZAR,1.1165337384479,1.06481833143436,0.399056325567679,0.44139816730712383
FFB,Fortress Real Estate Investments Limited Class B,2026-H1,2025-12-31,59693046000,ZAR,,,3852790000,ZAR,28100462000,ZAR,24747241000,ZAR,20894451000,ZAR,31592584000,ZAR,0.710837163666075,0.710837163666075,0.7884260614600601,0.1556856378454471
RES,Resilient REIT Limited,2025-H2,2025-12-31,41469394000,ZAR,,,42795000,ZAR,15012408000,ZAR,13607022000,ZAR,13564227000,ZAR,26456986000,ZAR,0.104007523421477,0.104007523421477,0.522774079821906,0.003145067304219836
ADH,ADvTECH Limited,2025-H2,2025-12-31,11297000000,ZAR,951200000,ZAR,344800000,ZAR,4572000000,ZAR,2994000000,ZAR,2649200000,ZAR,6725000000,ZAR,0.302438714190328,0.300372007249372,0.445509195881198,0.11516366065464262
PIK,Pick N Pay Stores Limited,2025-H1,2025-08-31,47387000000,ZAR,21057000000,ZAR,5713000000,ZAR,36819000000,ZAR,19267000000,ZAR,13554000000,ZAR,10568000000,ZAR,1.04444223996826,0.512276176776946,1.9795540943182999,0.29651736129132716
KRO,Karooooo Ltd.,2025-Q4,2026-02-28,5833508516.041378,ZAR,1773280094.2508335,ZAR,1161713241.0652437,ZAR,2483877203.6148877,ZAR,1151958415.5013766,ZAR,-9754825.563866956,ZAR,3349631312.426491,ZAR,1.05591579119016,1.05247343595253,0.34862399577331404,1.00846803620044
HYP,Hyprop Investments Limited,2026-H1,2025-12-31,42454891000,ZAR,,,944035000,ZAR,16256272000,ZAR,13750702000,ZAR,12806667000,ZAR,26198619000,ZAR,0.25313129645049,0.25313129645049,0.524818547048955,0.06865358583147246
SRI,Supermarket Income REIT Plc,2026-H1,2025-12-31,45750462933.333336,ZAR,,,1078568320,ZAR,21020743306.666668,ZAR,19876094826.666668,ZAR,18797526506.666668,ZAR,24729719626.666668,ZAR,2.71586440767424,2.71586440767424,0.8037331246260381,0.05426459922866458
APH,Alphamin Resources Corp.,2026-Q1,2026-03-31,12532762096.829193,ZAR,5657630830.944806,ZAR,3129750986.9665713,ZAR,3532400097.2556367,ZAR,736886042.0968946,ZAR,-2392864944.869677,ZAR,9000361999.573553,ZAR,2.26489178704674,1.81295900224698,0.0961305862937957,4.247265938245352
OPA,Channel VAS Investments Limited,,,5006907190,ZAR,4187305279.9999995,ZAR,1553619770,ZAR,2941572680,ZAR,1842285740,ZAR,288665970,ZAR,2065334510.0000002,ZAR,2.9922087763753,2.9922087763753,0.9160130503559191,0.8433109676026695
NTC,Netcare Limited,2025-H2,2025-09-30,29225000000,ZAR,6506000000,ZAR,1889000000,ZAR,18237000000,ZAR,12965000000,ZAR,11076000000,ZAR,10988000000,ZAR,1.1517082669499,1.0596565763852,1.19262257382026,0.1456999614346317
TFG,Foschini Group Limited,2025-H1,2025-09-30,61231000000,ZAR,29623000000,ZAR,2633000000,ZAR,36008000000,ZAR,26149000000,ZAR,23516000000,ZAR,25223000000,ZAR,1.59615280995743,0.738886793469476,1.0367125242833901,0.10069218708172396
TRU,Truworths International Limited,2026-H1,2025-12-31,20188000000,ZAR,11562000000,ZAR,985000000,ZAR,9309000000,ZAR,5657000000,ZAR,4672000000,ZAR,10879000000,ZAR,1.91202249049115,1.50289399702332,0.5199926463829401,0.17412055859996464
TGA,Thungela Resources Limited,2025-H2,2025-12-31,37785000000,ZAR,13869000000,ZAR,6137000000,ZAR,21607000000,ZAR,86000000,ZAR,-6051000000,ZAR,16178000000,ZAR,1.72521457892773,1.34220674213211,0.00537097177117162,71.36046511627907
BYI,Bytes Technology Group Plc,2025-H2,2026-02-28,10240882471.153847,ZAR,8814417605.76923,ZAR,2130690365.3846154,ZAR,8488742471.153846,ZAR,42766730.76923077,ZAR,-2087923634.6153846,ZAR,1752140000,ZAR,1.05389742702412,,0.0244082840236686,49.82121212121212
DTC,Datatec Limited,2025-H1,2025-08-31,78121055737.5,ZAR,59940055250,ZAR,11693817068.75,ZAR,68059380943.75,ZAR,12431575668.75,ZAR,737758599.9999989,ZAR,10061674793.75,ZAR,1.02252140490295,0.926241749989285,1.43916697562664,0.9406544576763066
CML,Coronation Fund Managers Limited,2025-H2,2025-09-30,100234000000,ZAR,,,1466000000,ZAR,97552000000,ZAR,490000000,ZAR,-976000000,ZAR,2682000000,ZAR,2.07162790697674,2.07162790697674,0.182699478001491,2.9918367346938775
MTH,Motus Holdings Limited,2026-H1,2025-12-31,61763000000,ZAR,41323000000,ZAR,1989000000,ZAR,42349000000,ZAR,15034000000,ZAR,13045000000,ZAR,19414000000,ZAR,1.35560804382771,0.46215923629564,0.7834696961801031,0.13230011972861513
GCT,Greencoat Renewables Plc,2025-H2,2025-12-31,43843988495.99999,ZAR,,,873189459.4999999,ZAR,22275952411.666664,ZAR,22128629707.333332,ZAR,21255440247.833332,ZAR,21568036084.333332,ZAR,7.10749402072814,7.10749402072814,1.02599187152729,0.03945971671307911
LHC,Life Healthcare Group Holdings Limited,2025-H2,2025-09-30,25690000000,ZAR,8465000000,ZAR,3810000000,ZAR,13548000000,ZAR,3951000000,ZAR,141000000,ZAR,12142000000,ZAR,1.20139086006245,1.14348566562589,0.34727959919135104,0.9643128321943811
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,2025-H2,2025-12-31,16129851000,ZAR,6131928000,ZAR,3922471000,ZAR,6433268000,ZAR,3223384000,ZAR,-699087000,ZAR,9696583000,ZAR,1.95428662123396,1.8810242341398,0.334013473553232,1.2168798380832069
GND,Grindrod Limited,2025-H2,2025-12-31,16129851000,ZAR,6131928000,ZAR,3922471000,ZAR,6433268000,ZAR,3223384000,ZAR,-699087000,ZAR,9696583000,ZAR,1.95428662123396,1.8810242341398,0.334013473553232,1.2168798380832069
LTE,Lighthouse Properties Plc,2025-H2,2025-12-31,32344479532.781902,ZAR,,,1267751215.9660401,ZAR,14370512689.558199,ZAR,12984504829.165901,ZAR,11716753613.1999,ZAR,17973966843.2237,ZAR,1.99512320554294,1.99512320554294,0.718231843169242,0.09763569983188014
OMN,Omnia Holdings Limited,2025-H1,2025-09-30,18194000000,ZAR,12011000000,ZAR,1094000000,ZAR,8379000000,ZAR,930000000,ZAR,-164000000,ZAR,9763000000,ZAR,1.60897521768252,0.803081044876088,0.09458909682668841,1.1763440860215053
EQU,Equites Property Fund Ltd ZAR,2025-H1,2025-08-31,31448176000,ZAR,,,1570052000,ZAR,13515563000,ZAR,10106751000,ZAR,8536699000.000001,ZAR,17932613000,ZAR,1.36434032978508,1.04269982353852,0.722546833369603,0.15534685676930202
WBC,We Buy Cars Holdings Ltd.,2025-H2,2025-09-30,5352695000,ZAR,3345179000,ZAR,93556000,ZAR,2299247000,ZAR,1631146000,ZAR,1537590000,ZAR,3053448000,ZAR,2.20879999577412,0.250816452929656,0.5341980606841841,0.057355993884054525
FTA,Fairvest Limited Class A,2025-H2,2025-09-30,15863986000,ZAR,,,61654000,ZAR,4719198000,ZAR,3979802000,ZAR,3918148000,ZAR,11144788000,ZAR,0.221410073269763,0.221410073269763,0.36163892373446205,0.015491725467749401
FTB,Fairvest Limited Class B,2025-H2,2025-09-30,15863986000,ZAR,,,61654000,ZAR,4719198000,ZAR,3979802000,ZAR,3918148000,ZAR,11144788000,ZAR,0.221410073269763,0.221410073269763,0.36163892373446205,0.015491725467749401
MSP,MAS P.L.C.,2026-H1,2025-12-31,32979843373.480698,ZAR,,,1856778249.74437,ZAR,9759625968.60249,ZAR,8135266100.578421,ZAR,6278487850.83405,ZAR,23220217404.8782,ZAR,1.99811196733003,1.57575206634686,0.350352710257972,0.22823817030549895
JSE,JSE Limited,2025-H2,2025-12-31,67543863000,ZAR,,,3171266000,ZAR,62480302000,ZAR,184814000,ZAR,-2986452000,ZAR,5063561000,ZAR,1.04220915639706,1.04220915639706,0.0364988197041568,17.159230361336263
SSU,Southern Sun Limited,2025-H1,2025-09-30,13958000000,ZAR,1379000000,ZAR,645000000,ZAR,4777000000,ZAR,2505000000,ZAR,1860000000,ZAR,9181000000,ZAR,0.696816574027286,0.653865588681152,0.27443032427695,0.25748502994011974
HCI,Hosken Consolidated Investments Limited,2025-H1,2025-09-30,64094329000,ZAR,8236246999.999999,ZAR,3324004000,ZAR,25413116000,ZAR,14078412000,ZAR,10754408000,ZAR,38681213000,ZAR,1.48585360415132,1.32356685094355,0.583661859812819,0.23610645859774526
ISO,"ASP Isotopes, Inc.",2025-Q4,2025-12-31,8548033333.333333,ZAR,6635616666.666667,ZAR,5555133333.333334,ZAR,4166400000.0000005,ZAR,3599333333.3333335,ZAR,-1955800000.0000002,ZAR,4381633333.333334,ZAR,12.17693295816,11.9171458282359,1.05784443867529,1.5433784034080387
SPP,Spar Group Limited,2025-H2,2025-09-30,46221400000,ZAR,24985600000,ZAR,2752600000,ZAR,40909100000,ZAR,16310200000,ZAR,13557600000,ZAR,5312300000,ZAR,0.989168303034142,0.804954234496738,3.0702708807861003,0.16876555774913857
ATT,Attacq Limited,2026-H1,2025-12-31,25150183000,ZAR,,,1078360000,ZAR,9574493000,ZAR,8364163000,ZAR,7285803000,ZAR,15575690000,ZAR,1.48401988596213,1.4548625519112,0.618702683278406,0.12892622967773346
SUI,Sun International Limited,2025-H2,2025-12-31,13642000000,ZAR,1444000000,ZAR,336000000,ZAR,9976000000,ZAR,5663000000,ZAR,5327000000,ZAR,3666000000,ZAR,0.460606060606061,0.4207336523126,1.75924200062131,0.059332509270704575
RLO,Reunert Limited,2025-H2,2025-09-30,12759000000,ZAR,7722000000,ZAR,1754000000,ZAR,4551000000,ZAR,1277000000,ZAR,-477000000,ZAR,8208000000,ZAR,2.6265306122449,2.00272108843537,0.15875186474390898,1.3735317149569304
WBO,Wilson Bayly Holmes-Ovcon Limited,2026-H1,2025-12-31,15275883000,ZAR,10853970000,ZAR,4516982000,ZAR,9508978000,ZAR,385550000,ZAR,-4131432000,ZAR,5766905000,ZAR,1.19006722023475,1.14479892917776,0.0690781582048386,11.71568408766697
AFE,AECI Ltd,2025-H2,2025-12-31,24402000000,ZAR,16605000000,ZAR,4749000000,ZAR,12801000000,ZAR,4437000000,ZAR,-312000000,ZAR,11601000000,ZAR,1.96508875739645,1.40023668639053,0.387612474884249,1.070317782285328
PPC,PPC Limited,2025-H1,2025-09-30,9044000000,ZAR,3156000000,ZAR,812000000,ZAR,3448000000,ZAR,660000000,ZAR,-152000000,ZAR,5596000000,ZAR,1.7369290038525,1.15905338470006,0.11634056054997399,1.2303030303030302
SDO,Stadio Holdings Pty Ltd.,2025-H2,2025-12-31,2674638000,ZAR,401290000,ZAR,155976000,ZAR,529484000.00000006,ZAR,251737000,ZAR,95761000,ZAR,2145154000,ZAR,1.15510050171701,1.15510050171701,0.121284959454765,0.6195990259675773
ITE,Italtile Limited,2026-H1,2025-12-31,9836000000,ZAR,3633000000,ZAR,1486000000,ZAR,2251000000,ZAR,924000000,ZAR,-562000000,ZAR,7585000000,ZAR,2.42523364485981,1.66021361815754,0.126074498567335,1.6082251082251082
SAC,SA Corporate Real Estate Ltd.,2025-H2,2025-12-31,21463542000,ZAR,,,340528000,ZAR,9908218000,ZAR,8992478000,ZAR,8651950000,ZAR,11555324000,ZAR,0.455630308561779,0.455098746309834,0.77821080568576,0.03786809375569226
RBX,Raubex Group Limited,2025-H2,2026-02-28,16458728000,ZAR,7704033000,ZAR,1874827000,ZAR,8586293000,ZAR,2849779000,ZAR,974952000,ZAR,7872435000,ZAR,1.27567238277161,0.970120350497103,0.390505486205386,0.6578850500337043
AFH,Alexander Forbes Group Holdings Limited,2025-H1,2025-09-30,543564000000,ZAR,,,2671000000,ZAR,539792000000,ZAR,897000000,ZAR,-1774000000,ZAR,3772000000,ZAR,3.24899598393574,3.24899598393574,0.241388589881593,2.9777034559643254
SAP,Sappi Limited,2026-Q2,2026-03-31,95926470000,ZAR,29579040000,ZAR,3286560000,ZAR,63625747500,ZAR,36905330000,ZAR,33618769999.999996,ZAR,32300722500,ZAR,1.35211267605634,0.696400625978091,1.14255431902491,0.08905380333951762
ARL,Astral Foods Limited,2025-H2,2025-09-30,9325822000,ZAR,5650394000,ZAR,1040530000,ZAR,3951199000,ZAR,321876000,ZAR,-718654000,ZAR,5374623000,ZAR,2.09126843426362,1.1933603711169,0.0598881075007494,3.2327045197529483
CCD,Cell C Holdings Ltd.,2025-H1,2025-11-30,9938784000,ZAR,3218679000,ZAR,179603000,ZAR,7447264000,ZAR,2557629000,ZAR,2378026000,ZAR,2491520000,ZAR,0.579485569298281,0.541581020936116,1.02653360197791,0.07022245994239196
SSS,Stor-Age Property REIT Ltd.,2025-H1,2025-09-30,14005868000,ZAR,,,348659000,ZAR,5335616000,ZAR,4725854000,ZAR,4377195000,ZAR,8670252000,ZAR,0.648726879756296,0.638266219271101,0.5502821593152161,0.07377693005327714
CLI,Clientele Limited,2026-H1,2025-12-31,22440412000,ZAR,9375544000,ZAR,,,15283447000,ZAR,803711000,ZAR,345186000,ZAR,7156965000,ZAR,7.63319788415961,,0.11238047590389699,
THA,Tharisa Plc,2025-H2,2025-09-30,21359888937.5,ZAR,6458145577.5,ZAR,2993222487.5,ZAR,6732494832.5,ZAR,1817481865,ZAR,-1175740622.5,ZAR,14627394105,ZAR,2.02942228872552,1.6507221390931,0.133059667559238,1.6469063846752605
BAT,Brait PLC,2025-H1,2025-09-30,15150000000,ZAR,,,1000000,ZAR,2769000000,ZAR,2693000000,ZAR,2692000000,ZAR,12381000000,ZAR,0.0657894736842105,0.0657894736842105,0.217510701881916,0.0003713330857779428
AEL,Altron Limited Class A,2025-H1,2025-08-31,8524000000,ZAR,3912000000,ZAR,602000000,ZAR,4255000000,ZAR,1279000000,ZAR,677000000,ZAR,4269000000,ZAR,1.48632218844985,1.17021276595745,0.312255859375,0.47068021892103207
RCL,RCL Foods Limited,2026-H1,2025-12-31,18441089000,ZAR,8146814000,ZAR,303210000,ZAR,7793320000,ZAR,2384871000,ZAR,2081661000,ZAR,10647769000,ZAR,1.62574097425755,0.826872892569933,0.22043487266817402,0.12713895216974
BTN,Burstone Group Limited,2025-H1,2025-09-30,17599457000,ZAR,,,307540000,ZAR,8315717000.000001,ZAR,7135095000,ZAR,6827555000,ZAR,9283740000,ZAR,0.430992713079355,0.430992713079355,0.768558253462506,0.04310243942091871
OAO,Oando PLC,2025-Q4,2025-12-31,73074474975.7,ZAR,16448948913.8,ZAR,4474853474.4,ZAR,79111176926,ZAR,32770860605.7,ZAR,28296007131.3,ZAR,-6036701950.3,ZAR,0.317312274364058,0.305626000443271,,0.1365497698776231
LSK,"Lesaka Technologies, Inc.",2026-Q3,2026-03-31,11498364565.587734,ZAR,4676626916.524702,ZAR,1545093696.763203,ZAR,6876473594.5485525,ZAR,4218654173.7649064,ZAR,2673560477.0017037,ZAR,4621890971.039183,ZAR,1.53570489547262,1.43784019646783,0.9127550174158231,0.3662527510246936
BLU,Blu Label Unlimited Group Ltd,2025-H1,2025-11-30,13781547000,ZAR,8084590000,ZAR,2682384000,ZAR,11541135000,ZAR,4260658000.0000005,ZAR,1578274000,ZAR,2240412000,ZAR,0.957047971073785,0.927638768931215,1.9705872830723101,0.6295703621365526
PWR,"PowerFleet, Inc.",2025-Q3,2025-12-31,15990983333.333334,ZAR,2917966666.666667,ZAR,597500000,ZAR,7904666666.666667,ZAR,4832783333.333334,ZAR,4235283333.3333335,ZAR,8086316666.666667,ZAR,1.09408022596752,0.956200046243353,0.597834356296221,0.12363475843802914
DIB,Dipula Properties Limited Class B,2025-H2,2025-08-31,11219616000,ZAR,,,96466000,ZAR,4207439000.0000005,ZAR,3993647000,ZAR,3897181000,ZAR,7012177000,ZAR,1.96814617434336,1.96814617434336,0.584679686821745,0.02415486396268874
WVR,Weaver Fintech Ltd.,2025-H2,2025-12-31,9320000000,ZAR,8336000000,ZAR,269000000,ZAR,5330000000,ZAR,4561000000,ZAR,4292000000,ZAR,3990000000,ZAR,9.01189189189189,8.66054054054054,1.14310776942356,0.058978294233720675
EMI,Emira Property Fund Ltd.,2025-H1,2025-09-30,16458855000,ZAR,,,339132000,ZAR,6668426000,ZAR,5993419000,ZAR,5654287000,ZAR,9790430000,ZAR,0.464948890098591,0.464948890098591,0.612171233763097,0.05658406328674835
CAA,CA Sales Holdings (Pty) Ltd.,2025-H2,2025-12-31,6310489000,ZAR,4553064000,ZAR,1453788000,ZAR,2570537000,ZAR,893181000,ZAR,-560607000,ZAR,3739952000,ZAR,1.9909875518019,1.5625446850825,0.24168330101169802,1.627652178001995
TSG,Tsogo Sun Limited,2025-H1,2025-09-30,15292000000,ZAR,1364000000,ZAR,541000000,ZAR,9736000000,ZAR,7342000000,ZAR,6801000000,ZAR,5556000000,ZAR,0.726691529035695,0.686734150239744,1.3274272283493,0.07368564423862707
KAP,KAP Limited,2026-H1,2025-12-31,30428000000,ZAR,11436000000,ZAR,1654000000,ZAR,17277000000,ZAR,10184000000,ZAR,8530000000,ZAR,13151000000,ZAR,1.41815476190476,0.899181547619048,0.792097689974333,0.1624116260801257
OCE,Oceana Group Limited,2025-H2,2025-09-30,13556000000,ZAR,4852000000,ZAR,603000000,ZAR,5670000000,ZAR,3348000000,ZAR,2745000000,ZAR,7886000000,ZAR,1.68238557558946,0.704923717059639,0.433903576982893,0.18010752688172044
SEA,Spear REIT Ltd.,2025-H1,2025-08-31,6523185000,ZAR,,,802682000,ZAR,1721699000,ZAR,1605728000,ZAR,803046000,ZAR,4801486000,ZAR,2.4025999355087,2.4025999355087,0.335338885391993,0.49988665577233504
SBP,Sabvest Capital Ltd.,2025-H2,2025-12-31,6058140000,ZAR,,,40000,ZAR,2500000,ZAR,0,ZAR,-40000,ZAR,6055640000,ZAR,0.016,0.016,0,
SPG,Super Group Limited,2026-H1,2025-12-31,35970392000,ZAR,16952008000.000002,ZAR,3598386000,ZAR,22837888000,ZAR,8949771000,ZAR,5351385000,ZAR,13132504000,ZAR,1.18389451666859,0.848955188440413,0.703503940155201,0.40206458913864945
RBO,Rainbow Chicken Limited,2026-H1,2025-12-31,9122298000,ZAR,6679353000,ZAR,1665406000,ZAR,4000639000,ZAR,250155000,ZAR,-1415251000,ZAR,5121659000,ZAR,2.0517304244268,1.43885020702061,0.049004589080785095,6.657496352261598
HDC,Hudaco Industries Limited,2025-H2,2025-11-30,6727253000,ZAR,4438810000,ZAR,352474000,ZAR,2827587000,ZAR,1337770000,ZAR,985296000,ZAR,3899666000,ZAR,2.61834370137217,1.06207787059791,0.365400609925146,0.26347877437825634
SYG,Sygnia Ltd.,2025-H2,2025-09-30,181623915000,ZAR,,,282010000,ZAR,180732907000,ZAR,204508000,ZAR,-77502000,ZAR,891008000,ZAR,0.473883452606981,0.473883452606981,0.2296918767507,1.378968059929196
FBR,Famous Brands Limited,2025-H1,2025-08-31,3783829000,ZAR,1728073000,ZAR,358933000,ZAR,2466399000,ZAR,1434791000,ZAR,1075858000,ZAR,1317430000,ZAR,1.44814267625238,0.916384187419289,1.18642973204282,0.25016396116228773
AFT,Afrimat Limited,2025-H1,2025-08-31,10142954000,ZAR,3572158000,ZAR,489621000,ZAR,5610407000,ZAR,2758700000,ZAR,2269079000,ZAR,4532547000,ZAR,0.766433006483711,0.464477337050612,0.614520522740066,0.177482509877841
CAT,Caxton and CTP Publishers and Printers Limited,2026-H1,2025-12-31,9984956000,ZAR,5775197000,ZAR,2854582000,ZAR,1920223000,ZAR,23265000,ZAR,-2831317000,ZAR,8064733000,ZAR,3.96211659682602,3.053984484126,0.0028671618585272203,122.69856006877284
OCT,Octodec Investments Limited,2026-H1,2026-02-28,11583104000,ZAR,,,239937000,ZAR,4939028000,ZAR,4353008000,ZAR,4113071000,ZAR,6644076000,ZAR,0.535178413819191,0.535178413819191,0.65517131351297,0.05511981599850035
LEW,Lewis Group Limited,2025-H1,2025-09-30,9244300000,ZAR,5298800000,ZAR,487900000,ZAR,4131899999.9999995,ZAR,2687400000,ZAR,2199500000,ZAR,5112400000,ZAR,2.7897230704433,2.19832578709066,0.525663093654644,0.1815509414303788
ACS,Acsion Limited,2025-H1,2025-08-31,17142147000,ZAR,,,1070406000,ZAR,4764407000,ZAR,1836721000,ZAR,766315000,ZAR,12377740000,ZAR,2.70228063717657,2.57696792296044,0.15020846327957402,0.5827809449557119
BEL,Bell Equipment Limited,2025-H2,2025-12-31,8945794000,ZAR,6962725000,ZAR,631448000,ZAR,3041395000,ZAR,933666000,ZAR,302218000,ZAR,5904399000,ZAR,3.37788766709391,1.08686845851045,0.16154447470786099,0.6763103722316117
MKR,"Montauk Renewables, Inc.",2026-Q1,2026-03-31,7968994889.267462,ZAR,608023850.0851789,ZAR,442163543.4412266,ZAR,3475417376.4906306,ZAR,2688875638.8415675,ZAR,2246712095.400341,ZAR,4493577512.776832,ZAR,0.85023107341941,0.85023107341941,0.598381942048655,0.16444179755063768
NPK,Nampak Limited,2025-H2,2025-09-30,10992400000,ZAR,5078000000,ZAR,1261200000,ZAR,8192200000.000001,ZAR,4368400000,ZAR,3107200000,ZAR,2800200000,ZAR,1.67967716327071,0.93209182323366,1.76394104583081,0.28870982510759086
SUR,Spur Corporation Limited,2026-H1,2025-12-31,1508269000,ZAR,827902000,ZAR,454743000,ZAR,622999000,ZAR,99355000,ZAR,-355388000,ZAR,885270000,ZAR,1.7783539257299,1.3872158163353,0.11486711462779599,4.576951336117961
CPP,Collins Property Group Limited,2025-H1,2025-08-31,13418231000,ZAR,,,996056000,ZAR,8042178000,ZAR,7403637000,ZAR,6407581000,ZAR,5376053000,ZAR,0.892100791263979,0.892100791263979,1.3740841773613202,0.13453603951679424
KP2,Kore Potash PLC,2025-H2,2025-12-31,3505039785.4914303,ZAR,179166799.4303345,ZAR,176200799.31633088,ZAR,7572935.667832801,ZAR,0,ZAR,-176200799.31633088,ZAR,3497466849.823609,ZAR,23.6588302461584,23.6588302461584,0,
CHP,Choppies Enterprises Limited,2026-H1,2025-12-31,3806066666.666667,ZAR,1420800000,ZAR,148000000,ZAR,3434833333.3333335,ZAR,1435600000,ZAR,1287600000,ZAR,371233333.3333334,ZAR,0.578603716725264,0.200401808136615,2.72599531615925,0.10309278350515463
MCZ,MC Mining Ltd,2026-H1,2025-12-31,2247864206.102773,ZAR,92572161.40600275,ZAR,48695858.6390791,ZAR,548011852.9927324,ZAR,226569155.9830572,ZAR,177873297.34397864,ZAR,1699852353.110053,ZAR,0.242879019908116,0.210457230365347,0.131034017148423,0.21492713087001378
KAL,KAL Group Limited,2025-H2,2025-09-30,8229855000,ZAR,4173862000,ZAR,299560000,ZAR,4592744000,ZAR,2186448000,ZAR,1886888000,ZAR,3637111000,ZAR,1.13472304800929,0.763842570050531,0.635630456333344,0.13700760319934432
MRF,Merafe Resources Limited,2025-H2,2025-12-31,6056006000,ZAR,4739688000,ZAR,1550374000,ZAR,1337198000,ZAR,4723000,ZAR,-1545651000,ZAR,4718808000,ZAR,4.90180541033604,2.93825593865928,0.00100088835994175,328.26042769426215
MPT,Mpact Limited,2025-H2,2025-12-31,12499700000,ZAR,5866600000,ZAR,892000000,ZAR,6229500000,ZAR,3406000000,ZAR,2514000000,ZAR,6270200000,ZAR,2.42141324087832,1.52955258378735,0.603440639228957,0.26189078097475044
IVT,Invicta Holdings Limited,2025-H1,2025-09-30,9553519000,ZAR,5484661000,ZAR,930972000,ZAR,4145828000.0000005,ZAR,2187363000,ZAR,1256391000,ZAR,5407691000,ZAR,2.36251794073913,1.0803417743111,0.415237543090119,0.42561385558775566
ORN,Orion Minerals Limited,2026-H1,2025-12-31,1787785166.6666667,ZAR,74120354.16666667,ZAR,63866945.833333336,ZAR,666638354.1666666,ZAR,428118720.8333333,ZAR,364251774.99999994,ZAR,1121146812.5,ZAR,0.194604222021081,0.194604222021081,0.335737459010675,0.14918045561991844
SHG,Sea Harvest Group Ltd.,2025-H2,2025-12-31,9519879000,ZAR,2548080000,ZAR,261565000,ZAR,5411089000,ZAR,3085726000,ZAR,2824161000,ZAR,4084169000,ZAR,1.50814389892675,0.748227779398857,0.748442889537144,0.08476611338790288
YYLBEE,YeboYethu Limited,2025-H1,2025-09-30,15267863000,ZAR,,,6484000,ZAR,10678374000,ZAR,9120249000,ZAR,9113765000,ZAR,4589489000,ZAR,2.21842704501664,2.21842704501664,1.98720358628161,0.0007109455015975989
CMH,Combined Motor Holdings Limited,2025-H2,2026-02-28,5908407000,ZAR,3807001000,ZAR,1145415000,ZAR,4437991000,ZAR,2132625000,ZAR,987210000,ZAR,1470416000,ZAR,1.07146594346253,0.439968793245967,1.45035486556185,0.5370916124494461
ZZD,Zeda Limited,2025-H2,2025-09-30,14158403000,ZAR,,,1111860000,ZAR,10797426000,ZAR,6709540000,ZAR,5597680000,ZAR,3360977000,ZAR,1.39560312429004,1.22957261073717,2.03241977222615,0.1657132977819642
PPE,Purple Group Limited,2026-H1,2026-02-28,1289742000,ZAR,,,468516000,ZAR,419828000,ZAR,2047000.0000000002,ZAR,-466469000,ZAR,869914000,ZAR,1.5293926086742,1.5293926086742,0.0028564969606983998,228.8793356130923
SDL,Southern Palladium Ltd.,2026-H1,2025-12-31,486233671.4041667,ZAR,252484419.61666667,ZAR,251081982.44583333,ZAR,3150454.2375000003,ZAR,0,ZAR,-251081982.44583333,ZAR,483083217.1666667,ZAR,80.1422273052988,80.1422273052988,0,
CSB,Cashbuild Limited,2026-H1,2025-12-31,7249395000,ZAR,4412555000,ZAR,2063253000.0000002,ZAR,5343853000,ZAR,1581995000,ZAR,-481258000,ZAR,1905542000,ZAR,1.10372068673208,0.556326573185712,0.8537889839285321,1.3042095581844444
MDI,Master Drilling Group Ltd.,2025-H2,2025-12-31,7197852258.570001,ZAR,3201732815.04,ZAR,664672260.87,ZAR,3190371196.86,ZAR,1179740023.22,ZAR,515067762.34999996,ZAR,4007481061.71,ZAR,1.68420584336438,1.2126955159509,0.323724763565944,0.563405706162137
