Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
MSP,MAS P.L.C.,2052,ZAC,-1.0607521697203472,6702055,10.659104839753713,14714901985,ZAR,11.274725274725276,1.82,ZAR,-53.13264491540699,0,Finance,No rating
JSE,JSE Limited,15523,ZAC,-1.6909436352121596,56214,0.42721454052435504,13635531603,ZAR,12.035292567007032,12.8979,ZAR,16.736810665508155,6.71944268524382,Finance,Sell
SSU,Southern Sun Limited,1017,ZAC,-0.7804878048780488,306324,0.2907543654111612,13482318481,ZAR,13.365751084242344,0.7609,ZAR,9.042705646317003,2.4390243902439,Consumer services,Buy
HCI,Hosken Consolidated Investments Limited,16349,ZAC,-1.065052950075643,47643,0.9125106060228803,13137160671,ZAR,2.1919780761970142,74.5856,ZAR,588.6816494616905,1.089258698941,Consumer services,No rating
ISO,"ASP Isotopes, Inc.",9701,ZAC,-4.79882237487733,3483,0.05703085855757612,12715621608.62355,ZAR,,-35.59666666666667,ZAR,-191.46710253217108,0,Health technology,Strong buy
SPP,Spar Group Limited,6130,ZAC,-0.6643979906011992,406408,0.7017108873377347,11881356557,ZAR,,-25.07,ZAR,-1472.0446584938707,0,Distribution services,Buy
ATT,Attacq Limited,1649,ZAC,-0.960960960960961,260078,0.31887204155569265,11651183769,ZAR,8.18321671381073,2.0151,ZAR,4.501374267489498,5.46546546546547,Finance,Neutral
SUI,Sun International Limited,4697,ZAC,-1.941544885177453,106360,0.26016123343233244,11452096904,ZAR,7.093665992086266,6.6214,ZAR,32.86912549664889,8.53862212943633,Consumer services,Buy
RLO,Reunert Limited,6290,ZAC,-11.408450704225352,1051590,4.325369959205566,11156405853,ZAR,11.275836724450103,5.5783,ZAR,-8.552459016393444,5.3943661971831,Consumer durables,Strong buy
WBO,Wilson Bayly Holmes-Ovcon Limited,16810,ZAC,-1.129278908363722,591628,2.9594066260359435,10936507719,ZAR,7.152643627296633,23.5018,ZAR,17.407442562183714,3.64662980825785,Industrial services,Buy
AFE,AECI Ltd,11288,ZAC,-1.2682585498119479,100342,0.3077340168732038,10907062287,ZAR,36.49531199482703,3.093,ZAR,,1.99422723694568,Process industries,Neutral
PPC,PPC Limited,662,ZAC,-1.7804154302670623,616150,0.20960689123094783,10343641189,ZAR,18.914285714285715,0.35,ZAR,409.4614264919942,2.61127596439169,Non-energy minerals,Neutral
SDO,Stadio Holdings Pty Ltd.,1181,ZAC,0,83584,0.21325691355114196,10017576963,ZAR,31.09531332280147,0.3798,ZAR,24.442988204456093,1.5580016934801,Commercial services,No rating
ITE,Italtile Limited,823,ZAC,0.3658536585365854,48543,0.06703124216791656,9976564001,ZAR,7.123074259996539,1.1554,ZAR,-7.759859492256103,5.60975609756098,Retail trade,Strong buy
SAC,SA Corporate Real Estate Ltd.,341,ZAC,-1.1594202898550725,607413,0.3610495439246541,9480461996,ZAR,15.794349235757295,0.2159,ZAR,-15.926791277258554,7.69817391304348,Finance,Neutral
RBX,Raubex Group Limited,5069,ZAC,-2.519230769230769,52381,0.14127683446678993,9403913879,ZAR,8.484960077668603,5.9741,ZAR,0.658803706823932,3.55769230769231,Industrial services,Strong buy
AFH,Alexander Forbes Group Holdings Limited,814,ZAC,-0.24509803921568626,102568,0.9726095593917872,9396308555,ZAR,10.863472574402778,0.7493,ZAR,40.52888222055513,6.98529411764706,Finance,No rating
SAP,Sappi Limited,1454,ZAC,-6.072351421188631,2241276,0.6773525492005353,9354082619,ZAR,,-18.8339,ZAR,-450.17012178116573,0,Process industries,Neutral
ARL,Astral Foods Limited,23657,ZAC,-1.078820823750784,274980,1.9900000651320118,9220877844,ZAR,10.482634550111221,22.5678,ZAR,15.770304099807102,4.59962366715451,Process industries,Buy
CCD,Cell C Holdings Ltd.,2545,ZAC,-3.9622641509433962,11950,0.29440603889608824,9010000000,ZAR,,,,,0,Miscellaneous,Neutral
SSS,Stor-Age Property REIT Ltd.,1743,ZAC,-0.05733944954128441,139200,0.2687689859126049,8914881948,ZAR,7.967271563742743,2.1877,ZAR,-12.968930262163347,6.49655963302752,Finance,No rating
CLI,Clientele Limited,1912,ZAC,0.10471204188481677,19675,0.14378988479269408,8657498931,ZAR,10.486480557231394,1.8233,ZAR,-10.710088148873648,6.91099476439791,Miscellaneous,No rating
THA,Tharisa Plc,2804,ZAC,-1.267605633802817,17899,0.5798862193193893,8488224093.000001,ZAR,6.0060831941053,4.6686,ZAR,-6.5438895005505,1.84680633802817,Non-energy minerals,Strong buy
BAT,Brait PLC,211,ZAC,-2.314814814814815,84060,0.09382272349307148,8343400584.999999,ZAR,,-0.006,ZAR,-102.06043956043955,0,Finance,No rating
AEL,Altron Limited Class A,2138,ZAC,-1.0185185185185186,90853,0.39626472313634153,8245403340.999999,ZAR,22.45326612056291,0.9522,ZAR,-13.522840795568062,4.53703703703704,Technology services,No rating
RCL,RCL Foods Limited,894,ZAC,0,36788,0.5422607562583006,8039062720,ZAR,7.438222813878027,1.2019,ZAR,-38.74732443176027,6.71140939597316,Consumer non-durables,No rating
BTN,Burstone Group Limited,955,ZAC,-1.1387163561076603,681641,0.6802425573505986,7775512172,ZAR,,-1.565,ZAR,-19.5021380574221,9.6900414078675,Finance,No rating
OAO,Oando PLC,15,ZAC,0,8782,0.4906145251396648,7564231491.670647,ZAR,0.6642468596401216,0.22581966,ZAR,333.582757808065,0,Energy minerals,No rating
LSK,"Lesaka Technologies, Inc.",8300,ZAC,2.4691358024691357,16320,3.4318157922405637,7521470116.086236,ZAR,,-5.894378194207836,ZAR,61.03484594144838,0,Technology services,Strong buy
BLU,Blu Label Unlimited Group Ltd,835,ZAC,-1.8801410105757932,1161896,1.0713645195933872,7444888309,ZAR,,-3.2418,ZAR,-559.5690388432095,5.11883666274971,Distribution services,No rating
PWR,"PowerFleet, Inc.",5400,ZAC,-0.09250693802035154,1276,0.2975399323772881,7252406699.834163,ZAR,,-3.7933333333333334,ZAR,90.13354431422967,0,Technology services,Strong buy
DIB,Dipula Properties Limited Class B,707,ZAC,0.5689900426742532,316795,0.12643001770567003,7123607254,ZAR,7.034125957616157,1.0051,ZAR,20.342432950191576,7.33019914651494,Finance,No rating
WVR,Weaver Fintech Ltd.,6499,ZAC,0,1000,0.283149757906957,6835301903,ZAR,17.068942875902824,3.8075,ZAR,-3.348225618114431,4.18525927065702,Finance,No rating
EMI,Emira Property Fund Ltd.,1500,ZAC,2.3890784982935154,189420,1.0265720773695648,6767199554,ZAR,5.155170636148057,2.9097,ZAR,-24.42926525205828,8.5938566552901,Finance,Buy
CAA,CA Sales Holdings (Pty) Ltd.,1400,ZAC,0.35842293906810035,11827,0.016924122634422067,6713001471,ZAR,9.772441714365488,1.4326,ZAR,15.299798792756553,2.05663082437276,Distribution services,No rating
TSG,Tsogo Sun Limited,698,ZAC,4.962406015037594,9253609,6.646675756730581,6491740321,ZAR,6.089156416295908,1.1463,ZAR,-12.489503015497364,6.76691729323308,Consumer services,Sell
KAP,KAP Limited,240,ZAC,-5.88235294117647,3526878,0.6225486629426837,6394563784,ZAR,48.87983706720978,0.0491,ZAR,-87.1060924369748,0,Transportation,Neutral
OCE,Oceana Group Limited,5400,ZAC,-0.037023324694557574,595,0.032067001169502396,6292102289,ZAR,9.612303748798462,5.6178,ZAR,-38.84256134468419,5.27582376897445,Consumer non-durables,Buy
