Symbol,Description,Pre-market price,Pre-market price - Currency,Pre-market change %,Pre-market gap %,Pre-market volume,Price,Price - Currency,Price change % 1 day,Gap % 1 day,Volume 1 day,Volume change % 1 day,Post-market price,Post-market price - Currency,Post-market change %,Post-market volume
MPT,Mpact Limited,,,,,,2149,ZAC,2.284626368396002,2.284626368396002,37163,70.43338683788122,,,,
IVT,Invicta Holdings Limited,,,,,,3650,ZAC,0.6896551724137931,0.7172413793103448,9072,74.46153846153845,,,,
ORN,Orion Minerals Limited,,,,,,32,ZAC,-3.0303030303030303,-3.0303030303030303,2066756,-57.296223978511286,,,,
SHG,Sea Harvest Group Ltd.,,,,,,834,ZAC,0.6031363088057901,-3.0156815440289506,215393,165586.9230769231,,,,
YYLBEE,YeboYethu Limited,,,,,,5400,ZAC,0,1.8518518518518516,4248,30.78817733990148,,,,
CMH,Combined Motor Holdings Limited,,,,,,3900,ZAC,-1.015228426395939,-3.1472081218274113,36627,472.296875,,,,
ZZD,Zeda Limited,,,,,,1446,ZAC,-0.9589041095890412,-1.9178082191780823,3931,-87.18792777524281,,,,
PPE,Purple Group Limited,,,,,,186,ZAC,-0.53475935828877,0,556283,620.8259365322068,,,,
SDL,Southern Palladium Ltd.,,,,,,1841,ZAC,1.098297638660077,0.5491488193300385,2320,78.46153846153847,,,,
CSB,Cashbuild Limited,,,,,,12694,ZAC,1.1474103585657371,2.6294820717131477,442,-88.62290862290862,,,,
MDI,Master Drilling Group Ltd.,,,,,,1720,ZAC,-0.5780346820809248,-0.3468208092485549,166876,66.52961839374102,,,,
IOC,iOCO Limited,,,,,,415,ZAC,1.2195121951219512,-0.975609756097561,198186,-85.43173122512212,,,,
AXX,Araxi Limited,,,,,,210,ZAC,-0.9433962264150944,-0.9433962264150944,1,-99.99935662769975,,,,
LBR,Libstar Holdings Ltd.,,,,,,425,ZAC,2.657004830917874,2.1739130434782608,141423,712.1224302285517,425,ZAC,0,7879
CLH,City Lodge Hotels Limited,,,,,,418,ZAC,0,-0.4784688995215311,492541,2.565699054599975,,,,
JBL,Jubilee Metals Group PLC,,,,,,65,ZAC,-4.411764705882353,0,160974,-94.46128691623802,,,,
FTH,Frontier Transport Holdings Limited,,,,,,601,ZAC,-11.487481590574374,-2.0618556701030926,801,-89.87357774968395,,,,
ART,Argent Industrial Limited,,,,,,3800,ZAC,1.0638297872340425,2.2074468085106385,14386,-12.049886898575533,,,,
BWN,Balwin Properties Ltd.,,,,,,390,ZAC,1.8276762402088773,4.177545691906006,76938,-34.68760611205433,,,,
ZED,Zeder Investments Limited,,,,,,128,ZAC,0,3.125,203509,-82.30065636874234,,,,
QFH,Quantum Foods Holdings Ltd,,,,,,951,ZAC,-13.387978142076504,-0.9107468123861567,926,-89.3244178003228,,,,
OAS,Oasis Crescent Property Fund,,,,,,2825,ZAC,0,0,879,-87.58299194801525,,,,
SCD,Schroder European Real Estate Investment Trust Plc,,,,,,1400,ZAC,0.5747126436781609,0.5747126436781609,41,-12.76595744680851,,,,
NVS,Novus Holdings Ltd.,,,,,,541,ZAC,-0.9157509157509158,-0.9157509157509158,2208725,1748.9552813541159,,,,
GML,Gemfields Group Limited,,,,,,82,ZAC,-8.88888888888889,0,68010,-12.01811125485123,,,,
UPL,Universal Partners Ltd.,,,,,,1525,ZAC,0,0,830,-97.47682018543851,,,,
MMP,Marshall Monteagle PLC,,,,,,3146,ZAC,-4.666666666666667,-18.6969696969697,10,-94.68085106382979,,,,
ACL,ArcelorMittal South Africa Limited,,,,,,129,ZAC,0.78125,-4.6875,245089,-31.51796092632332,,,,
