Symbol,Description,Technical rating 1 day,Moving averages rating 1 day,Oscillators rating 1 day,Relative strength index (14) 1 day,Momentum (10) 1 day,Awesome oscillator 1 day,Commodity channel index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick pattern 1 day
NY1,Ninety One Ltd.,Strong sell,Strong sell,Neutral,42.43151451457314,-60,-128.70294117647063,-76.94057694057717,20.245398773006134,19.97027606293526,
PPH,Pepkor Holdings Ltd.,Sell,Strong sell,Sell,40.324274683812234,-24,-84.17647058823513,-93.28940142778562,15.525114155251146,12.390280833747363,
BVT,Bidvest Group Limited,Sell,Strong sell,Sell,47.994833665032175,-129,14.117647058814327,-76.44315603731336,25.164416753201795,21.414560978423907,
MNP,Mondi plc,Sell,Strong sell,Sell,35.649842023410926,-654,-1320.3264705882357,-85.59494777810784,20.105765987038577,21.56352521565037,
PAN,Pan African Resources PLC,Sell,Strong sell,Sell,40.41271681101059,-93,27.811764705881615,-108.78319950586783,38.12297734627832,52.56529826975512,
APN,Aspen Pharmacare Holdings Limited,Buy,Buy,Neutral,51.71326760075909,89,565.3147058824197,9.194533211596635,47.584195599629105,53.074540645529716,
OMU,Old Mutual Ltd.,Sell,Strong sell,Neutral,30.93471548521768,-77,-58.57941176470581,-162.79069767442138,6.906906906906907,9.207320528075249,Inverted Hammer
CLS,Clicks Group Limited,Sell,Strong sell,Neutral,25.499942939797492,-1597,-2617.597058823507,-113.92856423064435,2.2749118846550487,1.9587646137592667,Spinning Top White
GRT,Growthpoint Properties Limited,Neutral,Sell,Neutral,46.58092353439283,11,-31.473529411764048,-22.434565849603906,40.31531531531531,34.909909909909906,
SHC,Shaftesbury Capital PLC,Sell,Strong sell,Neutral,35.92472688556798,-219,-105.7088235294118,-145.63223575401338,7.534807534807538,9.323178978351388,Long Upper Shadow
QLT,Quilter Plc,Sell,Strong sell,Sell,42.89683674692802,-195,-18.5588235294108,-114.65629053177913,15.850332488060005,24.33941054860486,
