Symbol,Description,Price,Price - Currency,Price change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month
BHG,BHP Group Ltd,70265,ZAC,-3.838784726974134,1.9308323904024138,7.2748091603053435,21.131932352991882,46.63285961727081,37.03559239395417,53.172890371242346,56.30422209369578,290.3611111111111,1461.4444444444443,2.842068214832222,2.146882448790951
ANH,Anheuser-Busch InBev SA/NV,133707,ZAC,-0.12026772641706757,2.2138810956265145,8.62980866880611,4.532092877804707,21.55181818181818,25.1938202247191,9.775862068965518,25.793340922561647,-24.483214350262063,-24.483214350262063,1.4619451678766495,1.8553341401559256
BTI,British American Tobacco p.l.c.,108984,ZAC,-0.16671857538061302,14.660859135814158,16.029299037560683,14.863882126031555,16.52927024859663,13.030491599253267,48.17675050985724,95.38185729652206,18.848418756815704,290.6236559139785,2.941905674994502,2.3812201474017995
CFR,Compagnie Financiere Richemont SA,328291,ZAC,-2.047715378602075,-1.8893467976438454,1.089443361570178,-0.7347583008033962,-10.057260273972602,-9.636388659510047,-1.627107673775399,127.04958849159694,241.93417352359128,2851.673053369454,2.6314085710669923,2.629339443393393
GLN,Glencore plc,12732,ZAC,-3.4210725934916177,1.523004545092098,0.244075269663806,17.88888888888889,51.57142857142857,37.61348897535668,92.85065131778249,93.20182094081942,346.7368421052632,131.4909090909091,2.0708802488284643,2.5009613060855376
PRX,Prosus N.V. Class N,76368,ZAC,1.4951556955464296,-5.507368316856184,-5.8382550583825505,-6.868292682926829,-37.91219512195122,-27.31495141195618,-19.443037974683545,15.981476421986336,34.39804255290908,34.39804255290908,3.976583343961051,2.938525346233045
AGL,Anglo American plc,84065,ZAC,-6.3154727410511295,-2.242042956984871,5.450326141495234,6.749206349206349,32.1880650994575,22.70471464019851,58.83305257082315,29.38194237661803,528.0094879163945,536.7738716235649,2.9824074203754862,3.1158463718849854
ANG,Anglogold Ashanti PLC,158759,ZAC,-4.943837716146956,-4.649249249249249,-11.025987345390146,-6.6798727979168016,14.627436823104693,10.625740366524981,120.80528511821974,392.6425867312108,596.311403508772,465.2783860481181,4.767523412079694,4.143030160979408
NPN,Naspers Limited Class N,86489,ZAC,1.275175644028103,-5.8366902558519325,-5.9902173913043475,-4.537527593818985,-30.224922148538973,-23.736420711060948,-19.858228317272054,41.991016489469985,228.2812532832301,26411.382630207296,4.102291239315174,3.3226003646545785
GFI,Gold Fields Limited,68648,ZAC,-5.780949766675817,-8.469333333333333,-17.03066268627854,-19.402634606804895,-0.22238048865568816,-7.099358540612228,90.78958339123426,356.5272328256966,956.123076923077,431.33126934984523,4.575540953706027,4.292099874863724
CPI,Capitec Bank Holdings Limited,429384,ZAC,-0.9305126471735073,-1.6430844082216067,-1.040564739720534,-8.515180568871845,10.381491002570694,1.9916911916655384,21.63887149821954,177.02193548387098,671.5933799349494,167661.60130328505,2.0080390294277417,2.4073109454916586
FSR,FirstRand Limited,8784,ZAC,-1.8547486033519553,-4.272013949433305,-2.2914349276974417,-7.721399306649858,5.640408899579074,-2.5191432693374765,19.59155888359428,64.21761076836792,105.18570427470218,1103.2876712328766,2.1437521052726964,2.2287466358898302
SBK,Standard Bank Group Limited,30265,ZAC,-1.8039648291749133,-2.7724235415060394,-5.421875,-3.1489007648244742,13.119043169501028,4.0034364261168385,31.33570560666551,151.182670761059,156.5047885414018,917.3109243697479,2.2106426993041883,2.518274839779572
VAL,Valterra Platinum Limited,136965,ZAC,-6.549357277366884,-7.779476026636322,-12.20248588150076,-5.541379310344827,25.08219178082192,-3.2117871528513886,127.29007633587786,-24.677045925746686,252.36686390532543,345.8963472082686,4.349844196888302,5.0381683862389
MTN,MTN Group Limited,20794,ZAC,-1.1410097936673957,-1.0469211002189016,1.4985112510372431,6.816664098217497,24.963942307692307,22.31764705882353,76.02641158046221,116.46887362065375,57.4110522331567,1543.794466403162,3.5143613852213664,3.2366753928350644
VOD,Vodacom Group Limited,15352,ZAC,-1.7534877767822858,3.926347143243975,2.7714553487749365,-2.0356071724842066,8.887155117384212,8.341566690190543,19.007751937984494,23.796468026772036,-8.455575432319618,158.01680672268907,3.913342891064656,3.1270072021815296
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,9397,ZAC,-0.7918074324324325,0.3952991452991453,-4.102459434636187,-5.377102003826402,-6.03,-4.695740365111562,-3.1237113402061856,29.613793103448277,14.457978075517662,-12.054281703322415,1.4322134551780894,1.3994111047212319
INL,Investec Limited,12987,ZAC,-1.5166451808599377,-2.8064660978895377,-7.195941117621838,-3.2121031450290656,-3.024193548387097,4.903069466882068,10.801126183772716,143.43017806935333,80.63676349370706,732.2826792551266,3.1291123469828785,2.7486497589309513
S32,South32 Ltd.,4926,ZAC,-6.385404789053592,-1.48,-9.697525206232815,-2.416798732171157,37.94455334640157,23.4895963900727,42.45228455754771,54.75966069745523,163.14102564102564,150.68702290076337,3.4021721461802996,2.574230726639571
IMP,Impala Platinum Holdings Limited,24322,ZAC,-6.880049006470386,-9.513002715874846,-7.178567339617601,-12.721139699285894,28.003789274248724,-8.563909774436091,121.31028207461328,-6.450248086464864,381.4330958036421,257.0201834862385,4.722283752910744,5.841631349314347
ABG,Absa Group Limited,23032,ZAC,-1.4758095564015912,-0.3806228373702422,-6.892509196749808,-11.852730682383559,10.82134436799307,-3.7767379679144386,36.69653985399727,87.2520325203252,65.93659942363112,63.278037714447755,2.518339524082619,2.4741709698713357
HAR,Harmony Gold Mining Co. Ltd.,27140,ZAC,-4.9985998319798375,-7.771774220953546,-2.545872383209451,-17.31911652703732,-9.18217106143756,-19.67800171653497,6.527456136907799,298.47305828806344,433.2023575638507,73.97435897435898,4.704860980396282,4.5446875928524255
DSY,Discovery Limited,26618,ZAC,0.15426872859991722,-2.4945968716802813,4.3843137254901965,10.448132780082988,15.85132311977716,17.518763796909493,29.471277785884528,86.67508240409566,125.57627118644068,3723.55418172998,2.441448377803801,2.2766423222371444
