Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY"
MTM,Momentum Group Limited,2026-H1,2025-12-31,197164000000,ZAR,27.795386340508554,,,14261000000,ZAR,6034000000,ZAR,,,4.4745,ZAR,23.724595603484037
WHL,Woolworths Holdings Limited,2026-H1,2025-12-31,81605000000,ZAR,3.869407496977025,27768000000,ZAR,4602000000,ZAR,1723000000,ZAR,,,1.9209,ZAR,-41.6175308491885
SNT,Santam Limited,2025-H2,2025-12-31,61197000000,ZAR,6.78800146578952,,,9452000000,ZAR,4059000000,ZAR,,,36.7763,ZAR,10.698633435675148
RDF,Redefine Properties Limited,2026-H1,2026-02-28,11208392000,ZAR,3.4439502541339215,6611629000,ZAR,6791285000,ZAR,6235956000,ZAR,6842429000,ZAR,0.8934,ZAR,39.137206042672474
TBS,Tiger Brands Limited,2025-H2,2025-09-30,34392000000,ZAR,-8.682976565362619,10772000000,ZAR,5487000000,ZAR,3817000000,ZAR,6449000000,ZAR,24.4899,ZAR,27.825855481554168
DRD,DRDGOLD Ltd.,2026-H1,2025-12-31,9129100000,ZAR,29.164662271145193,4226899999.9999995,ZAR,3989500000,ZAR,3199300000,ZAR,4501800000,ZAR,3.6842,ZAR,86.53232747708977
ARI,African Rainbow Minerals Limited,2026-H1,2025-12-31,13812000000,ZAR,22.13281457246441,2548000000,ZAR,1674000000,ZAR,1289000000,ZAR,2613000000,ZAR,6.7135,ZAR,-60.349756080274986
BOX,Boxer Retail Limited,2025-H2,2026-02-28,47072000000,ZAR,10.352588147036759,6378000000,ZAR,2638000000,ZAR,1556000000,ZAR,4021000000,ZAR,3.4019,ZAR,13.563226064895176
MRP,Mr Price Group Limited,2025-H1,2025-09-30,41522000000,ZAR,6.930030130565785,17438000000,ZAR,5782000000,ZAR,3730000000,ZAR,,,14.0192,ZAR,10.198242387083587
HMN,Hammerson plc,2025-H2,2025-12-31,4755616000,ZAR,63.61732712855896,2950368000,ZAR,1935477333.3333333,ZAR,5211418666.666667,ZAR,1955685333.3333333,ZAR,10.292608,ZAR,
SRE,Sirius Real Estate Limited,2025-H1,2025-09-30,6393592265.469548,ZAR,5.700211849444135,3640923593.5949497,ZAR,2049092272.0895507,ZAR,4132929756.8474126,ZAR,2153760697.2869563,ZAR,2.725803826086956,ZAR,39.85501566730328
KST,PSG Financial Services Limited,2025-H2,2026-02-28,8197352999.999999,ZAR,-8.343645207569738,5518834000,ZAR,2645929000,ZAR,1736758000,ZAR,2857707000,ZAR,1.372,ZAR,37.36483780536645
VKE,Vukile Property Fund Limited,2025-H1,2025-09-30,5499000000,ZAR,17.31450270939113,3717000000,ZAR,3448000000,ZAR,4330000000,ZAR,3451000000,ZAR,3.4789,ZAR,134.04870828848223
DCP,Dis-Chem Pharmacies Limited,2025-H1,2025-08-31,40884029000,ZAR,7.617643869136365,7987940000,ZAR,2324095000,ZAR,1235218000,ZAR,3494370000,ZAR,1.4393,ZAR,16.34467706733489
AVI,AVI Limited Class Y,2026-H1,2025-12-31,16433800000,ZAR,3.00029457665574,7055600000,ZAR,3790500000,ZAR,2582500000,ZAR,4392400000,ZAR,7.6535,ZAR,7.874781530134746
PMR,Premier Group Limited,2025-H1,2025-09-30,20503370000,ZAR,8.297053621154028,7184980000,ZAR,2036940000,ZAR,1361067000,ZAR,2478868000,ZAR,10.2611,ZAR,26.799219020315373
TKG,Telkom SA SOC Ltd.,2025-H1,2025-09-30,44602000000,ZAR,5.099203543993591,19014000000,ZAR,4865000000,ZAR,8033000000,ZAR,10772000000,ZAR,16.1405,ZAR,303.44189766790805
FFB,Fortress Real Estate Investments Limited Class B,2026-H1,2025-12-31,6291441000,ZAR,24.063373384070008,4257322000,ZAR,4433061000,ZAR,3444612000,ZAR,4433061000,ZAR,2.848,ZAR,23.231361689238877
RES,Resilient REIT Limited,2025-H2,2025-12-31,3926844000,ZAR,7.532591720565172,2484256000,ZAR,2214406000,ZAR,4570994000,ZAR,2214406000,ZAR,13.6386,ZAR,58.54781335007324
ADH,ADvTECH Limited,2025-H2,2025-12-31,9330400000,ZAR,9.504025538107646,,,2038200000,ZAR,1288000000,ZAR,2539400000,ZAR,2.33,ZAR,16.511651165116515
PIK,Pick N Pay Stores Limited,2025-H1,2025-08-31,124389400000,ZAR,6.138919014393971,11814500000,ZAR,1986500000,ZAR,-404600000,ZAR,5844800000,ZAR,-0.551,ZAR,90.84748015016112
KRO,Karooooo Ltd.,2025-Q4,2026-02-28,5040751016.667756,ZAR,7.657826408162409,3424648226.1283975,ZAR,1284510145.909202,ZAR,910500485.7162547,ZAR,2086923878.2051282,ZAR,29.47275641025641,ZAR,-3.5574978670450035
HYP,Hyprop Investments Limited,2026-H1,2025-12-31,4930282000,ZAR,5.975220412626279,2873413000,ZAR,2550120000,ZAR,3565810000,ZAR,2721754000,ZAR,9.0191,ZAR,11.9356119840147
SRI,Supermarket Income REIT Plc,2026-H1,2025-12-31,2596481013.3333335,ZAR,-9.690133898887893,2320439733.3333335,ZAR,1801790186.6666667,ZAR,1376815946.6666667,ZAR,1801947360,ZAR,1.104704,ZAR,-16.765102766912804
APH,Alphamin Resources Corp.,2026-Q1,2026-03-31,12525939190.093246,ZAR,30.41545435989556,6850346347.788931,ZAR,6263649749.522506,ZAR,3194094553.5044603,ZAR,7257327529.124361,ZAR,2.488663441226576,ZAR,73.17094636138054
OPA,Channel VAS Investments Limited,,,,,,,,,,,,,,,,
NTC,Netcare Limited,2025-H2,2025-09-30,26344000000,ZAR,4.531386397904928,13094000000,ZAR,2842000000,ZAR,1718000000,ZAR,4195000000,ZAR,1.329,ZAR,22.173193601765014
TFG,Foschini Group Limited,2025-H1,2025-09-30,64557200000,ZAR,10.458415462111258,27088000000,ZAR,4808500000,ZAR,2935200000,ZAR,11130700000,ZAR,8.9559,ZAR,-1.6483637162310578
TRU,Truworths International Limited,2026-H1,2025-12-31,21765000000,ZAR,1.9437939110070257,9863000000,ZAR,2927000000,ZAR,2797000000,ZAR,4421000000,ZAR,7.4784,ZAR,-25.073639915840097
TGA,Thungela Resources Limited,2025-H2,2025-12-31,29599000000,ZAR,-16.749170276199585,4913000000,ZAR,-2305000000,ZAR,-7085000000,ZAR,1527000000,ZAR,-55.9729,ZAR,-311.8267931683059
BYI,Bytes Technology Group Plc,2025-H2,2026-02-28,4763997814.102564,ZAR,-6.822399654537962,3546636342.948718,ZAR,1354970987.1794872,ZAR,1107658326.9230769,ZAR,1422144993.5897436,ZAR,4.479707051282051,ZAR,-13.327187228930828
DTC,Datatec Limited,2025-H1,2025-08-31,51804802398.785095,ZAR,-47.677544670282884,16262344589.894499,ZAR,3890709157.12415,ZAR,1510517735.87926,ZAR,5012228150,ZAR,6.3471,ZAR,38.28405847621953
CML,Coronation Fund Managers Limited,2025-H2,2025-09-30,4398000000,ZAR,3.2879286049788634,,,2143000000,ZAR,1666000000,ZAR,,,4.5044,ZAR,-28.56055319418892
MTH,Motus Holdings Limited,2026-H1,2025-12-31,114086000000,ZAR,1.1651828468059446,5225000000,ZAR,5270000000,ZAR,2671000000,ZAR,7891000000,ZAR,15.4725,ZAR,10.366497375028535
GCT,Greencoat Renewables Plc,2025-H2,2025-12-31,2423953737.9999995,ZAR,-21.63965960917827,2171571114.1666665,ZAR,-140490971.16666666,ZAR,-1026071511.1666665,ZAR,-140490971.16666666,ZAR,-0.92199035,ZAR,-174.89191638710517
LHC,Life Healthcare Group Holdings Limited,2025-H2,2025-09-30,25104000000,ZAR,-1.6262392726987733,5847000000,ZAR,2201000000,ZAR,3864000000,ZAR,3513000000,ZAR,2.6598,ZAR,-19.914488739009993
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,2025-H2,2025-12-31,5558332000,ZAR,11.697426169155827,,,1135511000,ZAR,2139101000,ZAR,1564447000,ZAR,3.0984,ZAR,558.6734693877551
GND,Grindrod Limited,2025-H2,2025-12-31,5558332000,ZAR,11.697426169155827,,,1135511000,ZAR,2139101000,ZAR,1564447000,ZAR,3.0984,ZAR,558.6734693877551
LTE,Lighthouse Properties Plc,2025-H2,2025-12-31,2982588730.16874,ZAR,36.62164910766567,1903092427.26825,ZAR,1715882658.0469198,ZAR,2082321593.31687,ZAR,1715882660,ZAR,1.007,ZAR,49.14099526066349
OMN,Omnia Holdings Limited,2025-H1,2025-09-30,23107000000,ZAR,1.7750176180408739,5039000000,ZAR,1728000000,ZAR,1186000000,ZAR,2301000000,ZAR,7.29,ZAR,2.238303601480985
EQU,Equites Property Fund Ltd ZAR,2025-H1,2025-08-31,3955149000,ZAR,23.273734052938075,1908921000,ZAR,1697169000,ZAR,1590446000,ZAR,1704102000,ZAR,1.9108,ZAR,65.17980636237898
WBC,We Buy Cars Holdings Ltd.,2025-H2,2025-09-30,26656249000,ZAR,13.333100626234362,1259417000,ZAR,1259417000,ZAR,935392000,ZAR,1411648000,ZAR,2.2129,ZAR,169.0783073929961
FTA,Fairvest Limited Class A,2025-H2,2025-09-30,2182107000,ZAR,5.205031273096844,1296373000,ZAR,1644513000,ZAR,1466138000,ZAR,,,0.7856,ZAR,28.977179445082907
FTB,Fairvest Limited Class B,2025-H2,2025-09-30,2182107000,ZAR,5.205031273096844,1296373000,ZAR,1644513000,ZAR,1466138000,ZAR,,,0.7856,ZAR,28.977179445082907
MSP,MAS P.L.C.,2026-H1,2025-12-31,2073616741.3134599,ZAR,3.9556119719082266,1439656869.08265,ZAR,1195131764.06129,ZAR,1216183869.33897,ZAR,1196725610,ZAR,1.82,ZAR,-53.13264491540699
JSE,JSE Limited,2025-H2,2025-12-31,7820092000,ZAR,2.9012684471710184,3377795000,ZAR,1263350000,ZAR,1070654000,ZAR,1435063000,ZAR,12.8979,ZAR,16.736810665508155
SSU,Southern Sun Limited,2025-H1,2025-09-30,6765000000,ZAR,8.709625582516471,1555000000,ZAR,1555000000,ZAR,1021000000,ZAR,2022000000,ZAR,0.7609,ZAR,9.042705646317003
HCI,Hosken Consolidated Investments Limited,2025-H1,2025-09-30,23872732000,ZAR,1.5730706526861045,4120377000.0000005,ZAR,4120377000.0000005,ZAR,6126602000,ZAR,5223141000,ZAR,74.5856,ZAR,588.6816494616905
ISO,"ASP Isotopes, Inc.",2025-Q4,2025-12-31,397483333.3333334,ZAR,404.50007633110107,30998766.666666668,ZAR,-953183333.3333334,ZAR,-2918200000,ZAR,-916116166.6666667,ZAR,-35.59666666666667,ZAR,-191.46710253217108
SPP,Spar Group Limited,2025-H2,2025-09-30,133408299999.99998,ZAR,-14.197500691393925,14433200000,ZAR,3243400000,ZAR,-4828100000,ZAR,4905600000,ZAR,-25.07,ZAR,-1472.0446584938707
ATT,Attacq Limited,2026-H1,2025-12-31,2998659000,ZAR,7.97632100592515,1802565000,ZAR,1425069000,ZAR,1431056000,ZAR,1426933000,ZAR,2.0151,ZAR,4.501374267489498
SUI,Sun International Limited,2025-H2,2025-12-31,10594000000,ZAR,2.5854556018204704,5519000000,ZAR,2516000000,ZAR,1602000000,ZAR,3323000000,ZAR,6.6214,ZAR,32.86912549664889
RLO,Reunert Limited,2025-H2,2025-09-30,13881000000,ZAR,-3.9111172642946146,1515000000,ZAR,1515000000,ZAR,926000000,ZAR,1884000000,ZAR,5.5783,ZAR,-8.552459016393444
WBO,Wilson Bayly Holmes-Ovcon Limited,2026-H1,2025-12-31,27857922000,ZAR,-3.5553379714928335,2590204000,ZAR,1357482000,ZAR,1230105000,ZAR,1733256000,ZAR,23.5018,ZAR,17.407442562183714
AFE,AECI Ltd,2025-H2,2025-12-31,32183000000,ZAR,-4.2115602119173765,2335000000,ZAR,2335000000,ZAR,334000000,ZAR,3358000000,ZAR,3.093,ZAR,
PPC,PPC Limited,2025-H1,2025-09-30,10186000000,ZAR,13.771920026806658,2088000000,ZAR,1168000000,ZAR,516000000,ZAR,1744000000,ZAR,0.35,ZAR,409.4614264919942
SDO,Stadio Holdings Pty Ltd.,2025-H2,2025-12-31,1840997000,ZAR,14.229507993286447,459006000,ZAR,459006000,ZAR,327540000,ZAR,540682000,ZAR,0.3798,ZAR,24.442988204456093
ITE,Italtile Limited,2026-H1,2025-12-31,8795000000,ZAR,-2.7961980548187446,3536000000,ZAR,1892000000,ZAR,1379000000,ZAR,2412000000,ZAR,1.1554,ZAR,-7.759859492256103
SAC,SA Corporate Real Estate Ltd.,2025-H2,2025-12-31,2922446000,ZAR,-1.7085042465401428,1361194000,ZAR,1221515000,ZAR,564012000,ZAR,1242788000,ZAR,0.2159,ZAR,-15.926791277258554
RBX,Raubex Group Limited,2025-H2,2026-02-28,22048117000,ZAR,4.607601641488005,2861836000,ZAR,1679049000,ZAR,1099527000,ZAR,2521393000,ZAR,5.9741,ZAR,0.658803706823932
AFH,Alexander Forbes Group Holdings Limited,2025-H1,2025-09-30,5954000000,ZAR,10.300111152278623,4610000000,ZAR,837000000,ZAR,949000000,ZAR,852000000,ZAR,0.7493,ZAR,40.52888222055513
SAP,Sappi Limited,2026-Q2,2026-03-31,92506204032.7266,ZAR,-8.487797856797432,5797245049.44416,ZAR,5348282117.24805,ZAR,-11414721641.5653,ZAR,11114215650,ZAR,-18.8339,ZAR,-450.17012178116573
ARL,Astral Foods Limited,2025-H2,2025-09-30,22619153000,ZAR,10.446242477643198,3957686000,ZAR,1172388000,ZAR,876389000,ZAR,1503079000,ZAR,22.5678,ZAR,15.770304099807102
CCD,Cell C Holdings Ltd.,2025-H1,2025-11-30,,,,,,,,,,,,,,
SSS,Stor-Age Property REIT Ltd.,2025-H1,2025-09-30,1437265000,ZAR,7.52450463310007,1070670000.0000001,ZAR,845954000,ZAR,1066252999.9999999,ZAR,854850000,ZAR,2.1877,ZAR,-12.968930262163347
CLI,Clientele Limited,2026-H1,2025-12-31,5056423000,ZAR,53.83580740005159,,,1346981000,ZAR,827283000,ZAR,,,1.8233,ZAR,-10.710088148873648
THA,Tharisa Plc,2025-H2,2025-09-30,10894728287.4909,ZAR,-18.60051065159286,2212290541.0236597,ZAR,1074712192.22549,ZAR,1423109061.92097,ZAR,2249794950,ZAR,4.6686,ZAR,-6.5438895005505
BAT,Brait PLC,2025-H1,2025-09-30,827000000,ZAR,-33.360193392425465,799000000,ZAR,697000000,ZAR,-23000000,ZAR,697000000,ZAR,-0.006,ZAR,-102.06043956043955
AEL,Altron Limited Class A,2025-H1,2025-08-31,9545000000,ZAR,8.502898715471183,936000000,ZAR,936000000,ZAR,376000000,ZAR,1747000000,ZAR,0.9522,ZAR,-13.522840795568062
RCL,RCL Foods Limited,2026-H1,2025-12-31,26240503000,ZAR,34.950217489912355,25574035000,ZAR,1514415000,ZAR,1085833000,ZAR,2180883000,ZAR,1.2019,ZAR,-38.74732443176027
BTN,Burstone Group Limited,2025-H1,2025-09-30,2316553000,ZAR,53.83496173969981,1432233000,ZAR,-538329000,ZAR,-1241607000,ZAR,-415209000,ZAR,-1.565,ZAR,-19.5021380574221
OAO,Oando PLC,2025-Q4,2025-12-31,35021270322,ZAR,-26.49846719326404,255487955.7999989,ZAR,-1082810828.7,ZAR,2662977833.7,ZAR,70666084.3,ZAR,0.22581966,ZAR,333.582757808065
LSK,"Lesaka Technologies, Inc.",2026-Q3,2026-03-31,11954003407.158636,ZAR,1.6675534565357353,2877666098.8083644,ZAR,246235093.69683987,ZAR,-478040885.86041224,ZAR,1060511073.253833,ZAR,-5.894378194207836,ZAR,61.03484594144838
BLU,Blu Label Unlimited Group Ltd,2025-H1,2025-11-30,15442988000,ZAR,8.279295311095499,2399620000,ZAR,4433182000,ZAR,-2912474000,ZAR,4800888000,ZAR,-3.2418,ZAR,-559.5690388432095
PWR,"PowerFleet, Inc.",2025-Q3,2025-12-31,7215416666.666667,ZAR,29.513728929429018,3942016666.666667,ZAR,346866666.6666667,ZAR,-505416666.6666667,ZAR,1382600000,ZAR,-3.7933333333333334,ZAR,90.13354431422967
DIB,Dipula Properties Limited Class B,2025-H2,2025-08-31,1512530000,ZAR,1.685218388625465,919785000,ZAR,827245000,ZAR,931871000,ZAR,828026000,ZAR,1.0051,ZAR,20.342432950191576
WVR,Weaver Fintech Ltd.,2025-H2,2025-12-31,5455000000,ZAR,23.221142986220915,3677000000,ZAR,1151000000,ZAR,404000000,ZAR,1254000000,ZAR,3.8075,ZAR,-3.348225618114431
EMI,Emira Property Fund Ltd.,2025-H1,2025-09-30,1486395000,ZAR,-20.821332287841845,736196000,ZAR,1447072000,ZAR,1392651000,ZAR,,,2.9097,ZAR,-24.42926525205828
CAA,CA Sales Holdings (Pty) Ltd.,2025-H2,2025-12-31,12808113000,ZAR,2.306721439578981,1926617000,ZAR,828338000,ZAR,691347000,ZAR,961211000,ZAR,1.4326,ZAR,15.299798792756553
TSG,Tsogo Sun Limited,2025-H1,2025-09-30,10817000000,ZAR,-1.592066957787482,4668000000,ZAR,2644000000,ZAR,1192000000,ZAR,3328000000,ZAR,1.1463,ZAR,-12.489503015497364
KAP,KAP Limited,2026-H1,2025-12-31,29132000000,ZAR,-0.8744768450780904,4066000000,ZAR,2048000000,ZAR,126000000,ZAR,3511000000,ZAR,0.0491,ZAR,-87.1060924369748
OCE,Oceana Group Limited,2025-H2,2025-09-30,9995000000,ZAR,-0.655998409700825,2777000000,ZAR,1215000000,ZAR,674000000,ZAR,1531000000,ZAR,5.6178,ZAR,-38.84256134468419
SEA,Spear REIT Ltd.,2025-H1,2025-08-31,776649000,ZAR,22.2374366698617,491252000,ZAR,421683000,ZAR,667738000,ZAR,437745000,ZAR,2.0768,ZAR,45.80174108396516
SBP,Sabvest Capital Ltd.,2025-H2,2025-12-31,140002000,ZAR,39.99920001599968,,,1123156000,ZAR,1123155000,ZAR,1123156000,ZAR,29.6732,ZAR,27.666202006642926
SPG,Super Group Limited,2026-H1,2025-12-31,43517555000,ZAR,-21.387218173059143,2016210000,ZAR,2016210000,ZAR,3553494000,ZAR,3794786000,ZAR,10.4878,ZAR,
RBO,Rainbow Chicken Limited,2026-H1,2025-12-31,16730341000,ZAR,10.265807678601428,,,1146632000,ZAR,923610000,ZAR,1531444000,ZAR,1.0293,ZAR,92.42849130678633
HDC,Hudaco Industries Limited,2025-H2,2025-11-30,8748359000,ZAR,4.404998870424357,3280195000,ZAR,1096778000,ZAR,574267000,ZAR,1306174000,ZAR,19.7979,ZAR,11.981605918685931
SYG,Sygnia Ltd.,2025-H2,2025-09-30,1066868999.9999999,ZAR,12.772200723225986,490066000,ZAR,490066000,ZAR,382347000,ZAR,,,2.4617,ZAR,9.209884210993291
FBR,Famous Brands Limited,2025-H1,2025-08-31,8505795000,ZAR,4.999003806274762,3657259000,ZAR,870095000,ZAR,562698000,ZAR,1074753000,ZAR,5.6042,ZAR,17.144648829431436
AFT,Afrimat Limited,2025-H1,2025-08-31,9544474000,ZAR,29.981341304327398,1760137000,ZAR,528389000,ZAR,-99187000,ZAR,1238095000,ZAR,-0.66,ZAR,-113.42746119260269
CAT,Caxton and CTP Publishers and Printers Limited,2026-H1,2025-12-31,6691580000,ZAR,1.5714200278261228,1623345000,ZAR,538956000,ZAR,587906000,ZAR,798383000,ZAR,1.6617,ZAR,-18.603967670830276
OCT,Octodec Investments Limited,2026-H1,2026-02-28,2197989000,ZAR,3.49736193415782,1022436000,ZAR,824620000,ZAR,531086000,ZAR,838553000,ZAR,1.9951,ZAR,54.01420410683958
LEW,Lewis Group Limited,2025-H1,2025-09-30,9779100000,ZAR,12.318241334160291,6813900000,ZAR,1228900000,ZAR,791900000,ZAR,1620700000,ZAR,14.7498,ZAR,52.793834296724484
ACS,Acsion Limited,2025-H1,2025-08-31,1592774000,ZAR,6.698794728746979,967368000,ZAR,949835000,ZAR,1520584000,ZAR,1021645000,ZAR,3.9514,ZAR,75.13518305114793
BEL,Bell Equipment Limited,2025-H2,2025-12-31,11152251000,ZAR,-4.65444597631496,2435283000,ZAR,905995000,ZAR,384031000,ZAR,1155863000,ZAR,3.7055,ZAR,-10.40860735009672
MKR,"Montauk Renewables, Inc.",2026-Q1,2026-03-31,3069965928.4497447,ZAR,-7.329267665090803,1105332197.6149914,ZAR,8040885.860306662,ZAR,37768313.458262354,ZAR,558824531.516184,ZAR,0.26235093696763206,ZAR,-72.65496003145066
NPK,Nampak Limited,2025-H2,2025-09-30,10726800000,ZAR,7.738818637445638,,,1593600000,ZAR,1159600000,ZAR,1861100000,ZAR,137.2189,ZAR,1861.6431502051435
SUR,Spur Corporation Limited,2026-H1,2025-12-31,4033751000,ZAR,8.51263413597467,995738000,ZAR,391494000,ZAR,292149000,ZAR,425889000,ZAR,3.5425,ZAR,19.21989634515716
CPP,Collins Property Group Limited,2025-H1,2025-08-31,1104319000,ZAR,-12.929471167795734,933552000,ZAR,837282000,ZAR,568101000,ZAR,845837000,ZAR,1.72,ZAR,-60.653337603513755
KP2,Kore Potash PLC,2025-H2,2025-12-31,0,ZAR,,-7930.95124453888,ZAR,-23655496.890849657,ZAR,-16746835.793382486,ZAR,-23647626.133333333,ZAR,-0.004490666666666667,ZAR,5.599445821010831
CHP,Choppies Enterprises Limited,2026-H1,2025-12-31,11742566666.666668,ZAR,0.3339499643060336,2386500000,ZAR,458800000,ZAR,112233333.33333334,ZAR,847300000,ZAR,0.06105000000000001,ZAR,-33.80162938164305
MCZ,MC Mining Ltd,2026-H1,2025-12-31,270654335.3026209,ZAR,-23.478014132814796,-124567953.10631122,ZAR,-236833208.39668632,ZAR,-617796327.0216645,ZAR,-204675601.25,ZAR,-1.1232041666666668,ZAR,-62.13250700662809
KAL,KAL Group Limited,2025-H2,2025-09-30,20305200000,ZAR,-6.5780032173105365,3090367000,ZAR,626856000,ZAR,402712000,ZAR,798415000,ZAR,5.7032,ZAR,1.9484466054127485
MRF,Merafe Resources Limited,2025-H2,2025-12-31,5834877000,ZAR,-30.8947325161172,496867000,ZAR,496867000,ZAR,142588000,ZAR,698215000,ZAR,0.057,ZAR,-78.65168539325843
MPT,Mpact Limited,2025-H2,2025-12-31,13954600000,ZAR,4.995222223058229,5691000000,ZAR,939000000,ZAR,485400000,ZAR,1544500000,ZAR,3.2831,ZAR,-3.879259866494901
IVT,Invicta Holdings Limited,2025-H1,2025-09-30,8349439000,ZAR,4.494308056651985,2721994000,ZAR,723987000,ZAR,741457000,ZAR,925730000,ZAR,7.8838,ZAR,80.6636417800999
ORN,Orion Minerals Limited,2026-H1,2025-12-31,0,ZAR,,-9141325,ZAR,-146561462.5,ZAR,-132315675,ZAR,-137420137.5,ZAR,-0.018905416666666668,ZAR,-78.59546673898427
SHG,Sea Harvest Group Ltd.,2025-H2,2025-12-31,6642956000,ZAR,-7.447934067605949,2263271000,ZAR,1906625000,ZAR,275999000,ZAR,,,0.7963,ZAR,12.854308390022675
YYLBEE,YeboYethu Limited,2025-H1,2025-09-30,709597000,ZAR,5.084693052474447,,,3415875000,ZAR,2142871999.9999998,ZAR,3415875000,ZAR,40.4958,ZAR,693.630698075491
CMH,Combined Motor Holdings Limited,2025-H2,2026-02-28,15711190000,ZAR,18.56073789149624,2537078000,ZAR,727968000,ZAR,390947000,ZAR,1025909000.0000001,ZAR,5.249,ZAR,32.35664935195924
ZZD,Zeda Limited,2025-H2,2025-09-30,10649372000,ZAR,1.728249957897305,4353468000,ZAR,1600121000,ZAR,672499000,ZAR,3335455000,ZAR,3.6129,ZAR,12.82203416294537
PPE,Purple Group Limited,2026-H1,2026-02-28,546645000,ZAR,13.53572570896871,467982000,ZAR,131074000.00000001,ZAR,68150000,ZAR,192669000,ZAR,0.0479,ZAR,43.41317365269461
SDL,Southern Palladium Ltd.,2026-H1,2025-12-31,0,ZAR,,0,ZAR,-84027937.94583334,ZAR,-67267596.57916667,ZAR,-84027904.58333333,ZAR,-0.627215,ZAR,34.40774262592547
CSB,Cashbuild Limited,2026-H1,2025-12-31,11688791000,ZAR,1.6765138102121615,2517761000,ZAR,310300000,ZAR,203808000,ZAR,735178000,ZAR,9.7257,ZAR,5.059790651701889
MDI,Master Drilling Group Ltd.,2025-H2,2025-12-31,5208326405.75364,ZAR,5.013231656317842,1476184867.48522,ZAR,751127777.5067129,ZAR,547519084.704875,ZAR,1022068910,ZAR,3.6201,ZAR,73.8844324895528
IOC,iOCO Limited,2026-H1,2026-01-31,5679982000,ZAR,1.0312333355745262,1564407000,ZAR,450108000,ZAR,307775000,ZAR,548217000,ZAR,0.4886,ZAR,108.80341880341877
AXX,Araxi Limited,2025-H1,2025-09-30,1292108000,ZAR,4.171846606071453,587233000,ZAR,288987000,ZAR,223278000,ZAR,342363000,ZAR,0.1868,ZAR,49.91974317817014
LBR,Libstar Holdings Ltd.,2025-H2,2025-12-31,12329167000,ZAR,4.71723120825095,2527702000,ZAR,556376000,ZAR,61062000,ZAR,1004698000,ZAR,0.1025,ZAR,
CLH,City Lodge Hotels Limited,2026-H1,2025-12-31,2115588000.0000002,ZAR,8.430415221756743,620947000,ZAR,426905000,ZAR,207189000,ZAR,616990000,ZAR,0.3825,ZAR,5.926336194959854
JBL,Jubilee Metals Group PLC,2026-H1,2025-12-31,,,,,,,,,,,,,,
FTH,Frontier Transport Holdings Limited,2025-H1,2025-09-30,2952118000,ZAR,4.027705783913632,437482000.000001,ZAR,490547000,ZAR,356468000,ZAR,620577000,ZAR,1.1988,ZAR,-9.490373725934308
ART,Argent Industrial Limited,2025-H1,2025-09-30,2793017000,ZAR,11.668597766001938,862074000,ZAR,387327000,ZAR,286161000,ZAR,457687000,ZAR,5.2772,ZAR,17.417230331078677
BWN,Balwin Properties Ltd.,2025-H2,2026-02-28,2698369000,ZAR,21.36506684285733,710148000,ZAR,354635000,ZAR,245310000,ZAR,389973000,ZAR,0.5113,ZAR,6.078838174273858
ZED,Zeder Investments Limited,2025-H2,2026-02-28,15000000,ZAR,-70.58823529411765,,,-23000000,ZAR,-421000000,ZAR,,,-0.2742,ZAR,-164.67181467181467
QFH,Quantum Foods Holdings Ltd,2025-H2,2025-09-30,7146536000,ZAR,12.862466095237343,1455489000,ZAR,979110000,ZAR,278637000,ZAR,,,1.3705,ZAR,73.92131979695431
OAS,Oasis Crescent Property Fund,2025-H2,2026-03-31,156084000,ZAR,7.2366387039594375,84307000,ZAR,93944000,ZAR,125343000,ZAR,94075000,ZAR,1.9157,ZAR,-6.796730563393993
SCD,Schroder European Real Estate Investment Trust Plc,2025-H2,2025-09-30,403007395.72232467,ZAR,-8.186433923759902,243138684.90752628,ZAR,187073516.8412279,ZAR,44767392.67381305,ZAR,187073599.75652176,ZAR,0.33897217391304346,ZAR,330.19422574788865
NVS,Novus Holdings Ltd.,2025-H1,2025-09-30,4243197000,ZAR,5.325896904063807,1353386000,ZAR,292292000,ZAR,245577000,ZAR,564645000,ZAR,0.7355,ZAR,-26.37637637637637
GML,Gemfields Group Limited,2025-H2,2025-12-31,2412654491.99132,ZAR,-38.45288443004857,158809188.89229202,ZAR,-531019683.79796803,ZAR,-680551896.535325,ZAR,40235100,ZAR,-0.484,ZAR,61.529290199507194
UPL,Universal Partners Ltd.,2026-Q3,2026-03-31,163549.6422487246,ZAR,-99.74003823283729,-37209750.698467456,ZAR,-5978142.555366292,ZAR,-17438125.894378416,ZAR,-5978052.470187394,ZAR,-0.23872572402044295,ZAR,62.95230894838593
