Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Basic earnings per share, Trailing 12 months","Basic earnings per share, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
ISO,"ASP Isotopes, Inc.",4.245855215766934,ZAR,-35.59666666666667,ZAR,-35.59666666666667,ZAR,-6.726001511664,ZAR,-8.4447103150945,ZAR,-10.181756285166118,ZAR,-9.785810569390945,ZAR,30.467333333333336,ZAR,38.44751949335516,ZAR,59.33907125065392,ZAR
SPP,Spar Group Limited,692.725453022309,ZAR,-25.07,ZAR,-25.07,ZAR,22.2546274790123,ZAR,17.53774103697332,ZAR,16.841423916896893,ZAR,25.472432992146945,ZAR,27.58423,ZAR,,,,
ATT,Attacq Limited,4.20049770926234,ZAR,2.045,ZAR,2.0151,ZAR,1.53245110179523,ZAR,,,1.9925678680109624,ZAR,1.9988364124666502,ZAR,19.319,ZAR,,,,
SUI,Sun International Limited,43.9876326076193,ZAR,6.6289,ZAR,6.6214,ZAR,11.0944831345629,ZAR,5.954150005599974,ZAR,10.44675133479047,ZAR,13.797517760536062,ZAR,13.3657,ZAR,,,,
RLO,Reunert Limited,83.8964238985826,ZAR,5.8981,ZAR,5.5783,ZAR,7.64562900595829,ZAR,6.285734518732506,ZAR,9.156622880653604,ZAR,11.386849839703887,ZAR,51.19247,ZAR,,,,
WBO,Wilson Bayly Holmes-Ovcon Limited,538.348541944461,ZAR,23.6374,ZAR,23.5018,ZAR,31.7290277697258,ZAR,27.18559530021064,ZAR,26.233056988810944,ZAR,33.49481129340832,ZAR,107.42464,ZAR,,,,
AFE,AECI Ltd,266.695775340624,ZAR,3.1279,ZAR,3.093,ZAR,20.460238924774,ZAR,13.54071705268556,ZAR,19.349800684223244,ZAR,27.82725083409921,ZAR,108.42722,ZAR,,,,
PPC,PPC Limited,6.91507945701922,ZAR,0.351,ZAR,0.35,ZAR,0.886618277132054,ZAR,0.6069194025697212,ZAR,0.7929327317689423,ZAR,1.183968051545407,ZAR,3.85571,ZAR,,,,
SDO,Stadio Holdings Pty Ltd.,2.13085356705549,ZAR,0.3857,ZAR,0.3798,ZAR,0.498603185536206,ZAR,0.18571211948420016,ZAR,0.531274397731161,ZAR,0.6258099107943679,ZAR,2.45403,ZAR,,,,
ITE,Italtile Limited,7.34753550543024,ZAR,1.1589,ZAR,1.1554,ZAR,1.90977443609023,ZAR,1.6232247284878865,ZAR,1.5806182121971595,ZAR,2.0150375939849625,ZAR,6.14876,ZAR,,,,
SAC,SA Corporate Real Estate Ltd.,1.07640828070959,ZAR,0.2186,ZAR,0.2159,ZAR,0.247595422076878,ZAR,,,0.4499138259564011,ZAR,0.45774919172724343,ZAR,4.22311,ZAR,,,,
RBX,Raubex Group Limited,118.994182180762,ZAR,6.1021,ZAR,5.9741,ZAR,6.29649019836966,ZAR,0.07471637864178902,ZAR,9.06186512872849,ZAR,13.608014597858737,ZAR,40.45802,ZAR,,,,
AFH,Alexander Forbes Group Holdings Limited,4.72164948453608,ZAR,0.7553,ZAR,0.7493,ZAR,2.23314829500397,ZAR,,,0.6637589214908802,ZAR,0.675654242664552,ZAR,2.91909,ZAR,,,,
SAP,Sappi Limited,152.399018175826,ZAR,-18.8339,ZAR,-18.8339,ZAR,4.65566278648347,ZAR,-4.386933212520593,ZAR,8.811008434925865,ZAR,18.310075205930808,ZAR,53.21371,ZAR,60.79955518945635,ZAR,5.414431630971993,ZAR
ARL,Astral Foods Limited,582.462589540238,ZAR,22.7519,ZAR,22.5678,ZAR,43.2811660441569,ZAR,34.877811407825654,ZAR,30.189996523119195,ZAR,38.70557339718035,ZAR,139.50298,ZAR,,,,
CCD,Cell C Holdings Ltd.,,,,,,,,,,,,,,,7.328,ZAR,,,,
SSS,Stor-Age Property REIT Ltd.,2.95845546462035,ZAR,2.2135,ZAR,2.1877,ZAR,1.21011864574242,ZAR,,,1.7413053501737283,ZAR,1.759616809656331,ZAR,17.77177,ZAR,,,,
CLI,Clientele Limited,11.1354598168176,ZAR,1.8252,ZAR,1.8233,ZAR,-0.828251663242183,ZAR,-0.9021654631422008,ZAR,,,,,15.77793,ZAR,,,,
THA,Tharisa Plc,35.6848975824695,ZAR,4.802,ZAR,4.6686,ZAR,5.49159729609692,ZAR,-1.1896636997822774,ZAR,3.52014234947147,ZAR,7.369041269664995,ZAR,46.43202,ZAR,,,,
BAT,Brait PLC,0.214082319440849,ZAR,-0.006,ZAR,-0.006,ZAR,-0.013202174475796,ZAR,,,0.18042971783587886,ZAR,0.18042971783587886,ZAR,3.20528,ZAR,,,,
AEL,Altron Limited Class A,24.0623429314494,ZAR,0.9861,ZAR,0.9522,ZAR,4.14442030165561,ZAR,3.8822428616482036,ZAR,2.3595969600667006,ZAR,4.404076804739878,ZAR,10.7219,ZAR,,,,
RCL,RCL Foods Limited,29.0202352540438,ZAR,1.2098,ZAR,1.2019,ZAR,1.6983612286472,ZAR,0.5363962513298842,ZAR,1.6748413539272782,ZAR,2.4119102336393814,ZAR,12.0409,ZAR,,,,
BTN,Burstone Group Limited,2.91968950651275,ZAR,-1.565,ZAR,-1.565,ZAR,0.541365983338582,ZAR,,,-0.6480881816450633,ZAR,-0.523312594319946,ZAR,11.70085,ZAR,,,,
OAO,Oando PLC,4.295839163580653,ZAR,0.22581966,ZAR,0.22581966,ZAR,-0.0023377981494952446,ZAR,-0.1382980146386879,ZAR,-0.13282160018497688,ZAR,0.00866816450921634,ZAR,-0.445689337,ZAR,4.019795544817029,ZAR,0.54890215659986,ZAR
LSK,"Lesaka Technologies, Inc.",150.40455223591943,ZAR,-5.884156729131176,ZAR,-5.894378194207836,ZAR,6.559662847302368,ZAR,3.126687081132057,ZAR,3.098115146098507,ZAR,13.3432865694565,ZAR,38.19148211243611,ZAR,53.07885320354945,ZAR,19.440276007035855,ZAR
BLU,Blu Label Unlimited Group Ltd,17.1542913570952,ZAR,-3.2324,ZAR,-3.2418,ZAR,0.760297934159839,ZAR,0.49429901793688447,ZAR,4.924441802780015,ZAR,5.332894872726845,ZAR,2.38146,ZAR,,,,
PWR,"PowerFleet, Inc.",53.8962671925265,ZAR,-3.7933333333333334,ZAR,-3.7933333333333334,ZAR,4.23177666895735,ZAR,1.602726901510851,ZAR,2.590954813907397,ZAR,10.327467208461563,ZAR,60.30850000000001,ZAR,36.098952264284364,ZAR,4.4630852430607435,ZAR
DIB,Dipula Properties Limited Class B,1.63141674822079,ZAR,1.0236,ZAR,1.0051,ZAR,0.57720051556622,ZAR,,,0.8922674908146642,ZAR,0.893109878390686,ZAR,7.50299,ZAR,,,,
WVR,Weaver Fintech Ltd.,50.8083481938571,ZAR,3.8381,ZAR,3.8075,ZAR,-6.6595726780216,ZAR,-7.302244726669844,ZAR,10.720514898465549,ZAR,11.679865927607123,ZAR,37.71115,ZAR,,,,
EMI,Emira Property Fund Ltd.,3.13311634448272,ZAR,2.9165,ZAR,2.9097,ZAR,0.966176738072892,ZAR,,,3.0502288657075014,ZAR,,,20.9606,ZAR,,,,
CAA,CA Sales Holdings (Pty) Ltd.,26.6159883158671,ZAR,1.4387,ZAR,1.4326,ZAR,1.61245582684718,ZAR,1.2293119974847864,ZAR,1.7213335430120509,ZAR,1.9974512049575854,ZAR,7.67981,ZAR,,,,
TSG,Tsogo Sun Limited,10.4009615384615,ZAR,1.1463,ZAR,1.1463,ZAR,2.09423076923077,ZAR,1.2932692307692308,ZAR,2.542307692307692,ZAR,3.2,ZAR,5.31827,ZAR,,,,
KAP,KAP Limited,11.5740961462058,ZAR,0.0503,ZAR,0.0491,ZAR,0.844656336909019,ZAR,0.2320222487087803,ZAR,0.8136670639650377,ZAR,1.3949145808502186,ZAR,5.1264,ZAR,,,,
OCE,Oceana Group Limited,83.4279696178027,ZAR,5.6251,ZAR,5.6178,ZAR,8.00474465867662,ZAR,5.275285322506385,ZAR,10.141569093109586,ZAR,12.779211754362779,ZAR,64.43763,ZAR,,,,
SEA,Spear REIT Ltd.,2.16283237194872,ZAR,2.1239,ZAR,2.0768,ZAR,0.994764930813573,ZAR,,,1.1743138059798597,ZAR,1.2190436820992396,ZAR,12.09923,ZAR,,,,
SBP,Sabvest Capital Ltd.,3.69913363983128,ZAR,29.6732,ZAR,29.6732,ZAR,-0.241840618029569,ZAR,,,29.676034216499364,ZAR,29.676034216499364,ZAR,157.82226,ZAR,,,,
SPG,Super Group Limited,128.596075708101,ZAR,10.4893,ZAR,10.4878,ZAR,6.40008865117241,ZAR,-3.168357441527165,ZAR,5.957979344276828,ZAR,11.213740931723823,ZAR,37.65345,ZAR,,,,
RBO,Rainbow Chicken Limited,18.690716835267,ZAR,1.0326,ZAR,1.0293,ZAR,1.70260357607682,ZAR,1.1085715243292762,ZAR,1.2809884763410289,ZAR,1.7108907793970607,ZAR,5.67992,ZAR,,,,
HDC,Hudaco Industries Limited,302.289607608295,ZAR,20.2292,ZAR,19.7979,ZAR,35.7317361750297,ZAR,32.745798566403565,ZAR,37.89791791276638,ZAR,45.133358830857034,ZAR,128.96595,ZAR,,,,
SYG,Sygnia Ltd.,6.82460160458493,ZAR,2.4775,ZAR,2.4617,ZAR,2.5717578316544,ZAR,,,3.134878986972644,ZAR,,,5.70584,ZAR,,,,
FBR,Famous Brands Limited,84.6950587755655,ZAR,5.6156,ZAR,5.6042,ZAR,7.33504169355645,ZAR,4.901130225346065,ZAR,8.6638282682954,ZAR,10.701676739706912,ZAR,12.06894,ZAR,,,,
AFT,Afrimat Limited,62.1806214739584,ZAR,-0.6512,ZAR,-0.66,ZAR,4.21532926759758,ZAR,-0.690076807690772,ZAR,3.442364283249493,ZAR,8.065977920187175,ZAR,29.51351,ZAR,,,,
CAT,Caxton and CTP Publishers and Printers Limited,18.9288812880329,ZAR,1.6617,ZAR,1.6617,ZAR,3.32550570816129,ZAR,2.275769431721156,ZAR,1.52457777437811,ZAR,2.2584347836211465,ZAR,22.95257,ZAR,,,,
OCT,Octodec Investments Limited,8.25697037543483,ZAR,1.9951,ZAR,1.9951,ZAR,1.69939293307989,ZAR,,,3.0977693295967668,ZAR,3.1501100684452927,ZAR,24.95915,ZAR,,,,
LEW,Lewis Group Limited,184.469554063231,ZAR,15.3182,ZAR,14.7498,ZAR,12.6782615256923,ZAR,10.158077416434015,ZAR,23.181543801403457,ZAR,30.57232324756659,ZAR,99.30384,ZAR,,,,
ACS,Acsion Limited,4.13916103179264,ZAR,3.9514,ZAR,3.9514,ZAR,2.11676792981398,ZAR,,,2.4683476868863794,ZAR,2.654961201228671,ZAR,31.80624,ZAR,,,,
BEL,Bell Equipment Limited,109.700006850075,ZAR,4.0158,ZAR,3.7055,ZAR,10.6255423501048,ZAR,9.137100605336652,ZAR,8.911892110940995,ZAR,11.369738631039455,ZAR,60.43772,ZAR,,,,
MKR,"Montauk Renewables, Inc.",21.429612006982452,ZAR,0.26235093696763206,ZAR,0.26235093696763206,ZAR,4.404672563988262,ZAR,-11.741472865834481,ZAR,0.056128656862917396,ZAR,3.900822735326863,ZAR,31.37001703577513,ZAR,18.769446638288755,ZAR,3.0864815442309768,ZAR
NPK,Nampak Limited,1270.0189661153,ZAR,139.7156,ZAR,137.2189,ZAR,151.926794320687,ZAR,106.59265346548835,ZAR,188.67716601421998,ZAR,220.34831430036695,ZAR,298.22794,ZAR,,,,
SUR,Spur Corporation Limited,48.7786565088579,ZAR,3.6227,ZAR,3.5425,ZAR,4.72929439506621,ZAR,4.512437269484249,ZAR,4.7341919100308365,ZAR,5.150117903138038,ZAR,10.75415,ZAR,,,,
CPP,Collins Property Group Limited,3.34363484974642,ZAR,1.7201,ZAR,1.72,ZAR,1.11724774808871,ZAR,,,2.5351055938233293,ZAR,2.561008250700174,ZAR,16.31411,ZAR,,,,
KP2,Kore Potash PLC,0,ZAR,-0.004490666666666667,ZAR,-0.004490666666666667,ZAR,-0.0058664849771016036,ZAR,-0.0061165423431210255,ZAR,-0.004828357150478582,ZAR,-0.00482675310601642,ZAR,0.6776416,ZAR,,,,
CHP,Choppies Enterprises Limited,6.389617560075919,ZAR,0.061790000000000005,ZAR,0.06105000000000001,ZAR,0.40669133929272144,ZAR,0.2261633355472727,ZAR,0.24965210926879955,ZAR,0.4610510727625411,ZAR,0.29009233333333334,ZAR,,,,
MCZ,MC Mining Ltd,0.40571109650810905,ZAR,-1.1232041666666668,ZAR,-1.1232041666666668,ZAR,-0.2329200777730087,ZAR,-1.0241678523139328,ZAR,-0.35501312219155934,ZAR,-0.30680891373399627,ZAR,2.50018575,ZAR,,,,
KAL,KAL Group Limited,287.562945110092,ZAR,5.7032,ZAR,5.7032,ZAR,11.1854015254749,ZAR,9.314426809422619,ZAR,8.877556365853675,ZAR,11.307180861063884,ZAR,48.71471,ZAR,,,,
MRF,Merafe Resources Limited,2.33476622177249,ZAR,0.057,ZAR,0.057,ZAR,0.244005219310855,ZAR,0.0653360187352153,ZAR,0.19881623696839368,ZAR,0.2793835752724311,ZAR,1.88818,ZAR,,,,
MPT,Mpact Limited,94.3415456905304,ZAR,3.2954,ZAR,3.2831,ZAR,5.975699212866,ZAR,0.946484771808168,ZAR,6.348208576627641,ZAR,10.441755214697968,ZAR,38.34056,ZAR,,,,
IVT,Invicta Holdings Limited,93.3774604097701,ZAR,7.9122,ZAR,7.8838,ZAR,9.03834884137067,ZAR,8.079694909188511,ZAR,8.096839491813546,ZAR,10.353068802004117,ZAR,59.32796,ZAR,,,,
ORN,Orion Minerals Limited,0,ZAR,-0.018905416666666668,ZAR,-0.018905416666666668,ZAR,-0.013845698641582901,ZAR,-0.014245611164052745,ZAR,-0.01916526230410894,ZAR,-0.017969887418762737,ZAR,0.15658133333333335,ZAR,,,,
SHG,Sea Harvest Group Ltd.,20.1015926636998,ZAR,0.8198,ZAR,0.7963,ZAR,4.28538957849674,ZAR,1.775285291542111,ZAR,5.7694494909234155,ZAR,,,12.47578,ZAR,,,,
YYLBEE,YeboYethu Limited,13.4098861666688,ZAR,40.4958,ZAR,40.4958,ZAR,5.36378816523408,ZAR,,,64.55283056378454,ZAR,64.55283056378454,ZAR,86.75783,ZAR,,,,
CMH,Combined Motor Holdings Limited,212.531228964823,ZAR,5.308,ZAR,5.249,ZAR,10.149484592986,ZAR,-3.088990628039403,ZAR,9.847499373826206,ZAR,13.877860338782298,ZAR,21.17998,ZAR,,,,
ZZD,Zeda Limited,57.3460703684239,ZAR,3.6129,ZAR,3.6129,ZAR,-1.15795274949024,ZAR,,,8.616531703840645,ZAR,17.96117528251538,ZAR,17.77702,ZAR,,,,
PPE,Purple Group Limited,0.38405142219965,ZAR,0.0479,ZAR,0.0479,ZAR,-0.0208962698835336,ZAR,,,0.0920874719669932,ZAR,0.13536171274553774,ZAR,0.50404,ZAR,,,,
SDL,Southern Palladium Ltd.,0,ZAR,-0.627215,ZAR,-0.627215,ZAR,-0.16223171465052025,ZAR,-0.16223121254837194,ZAR,-0.7587667245804718,ZAR,-0.7587667245804718,ZAR,3.8588179583333337,ZAR,,,,
CSB,Cashbuild Limited,563.043882466281,ZAR,9.8942,ZAR,9.7257,ZAR,46.3590558766859,ZAR,34.049566473988435,ZAR,14.947013487475914,ZAR,35.41319845857418,ZAR,90.16204,ZAR,,,,
MDI,Master Drilling Group Ltd.,34.4045134909228,ZAR,3.6371,ZAR,3.6201,ZAR,2.05306705173878,ZAR,0.025128451529234923,ZAR,4.961706280902253,ZAR,6.751455431806716,ZAR,24.20849,ZAR,,,,
IOC,iOCO Limited,9.02270456426394,ZAR,0.4886,ZAR,0.4886,ZAR,0.467283855502835,ZAR,0.4202290312793378,ZAR,0.715000770427039,ZAR,0.8708478351000205,ZAR,1.39064,ZAR,,,,
AXX,Araxi Limited,1.04842813836796,ZAR,0.1912,ZAR,0.1868,ZAR,0.189968712066626,ZAR,,,0.23448667017195382,ZAR,0.2777964401861697,ZAR,1.31303,ZAR,,,,
LBR,Libstar Holdings Ltd.,20.6930400155258,ZAR,0.1025,ZAR,0.1025,ZAR,1.25539544324552,ZAR,0.9319915592271051,ZAR,0.9338109242642425,ZAR,1.6862660646513077,ZAR,8.0513,ZAR,,,,
CLH,City Lodge Hotels Limited,3.96770454724476,ZAR,0.383,ZAR,0.3825,ZAR,0.787232606029235,ZAR,0.29404428340478844,ZAR,0.8006440335932723,ZAR,1.15714119601952,ZAR,2.30711,ZAR,,,,
JBL,Jubilee Metals Group PLC,,,,,,,,,,,,,,,1.2690624,ZAR,,,,
FTH,Frontier Transport Holdings Limited,9.84456056863724,ZAR,1.2182,ZAR,1.1988,ZAR,1.41603941420416,ZAR,0.9936372766379916,ZAR,1.6358491270549793,ZAR,2.069466011861041,ZAR,5.71221,ZAR,,,,
ART,Argent Industrial Limited,51.7033876342096,ZAR,5.2772,ZAR,5.2772,ZAR,7.27574972232506,ZAR,5.182765642354683,ZAR,7.17006664198445,ZAR,8.472547204738985,ZAR,36.54917,ZAR,,,,
BWN,Balwin Properties Ltd.,5.53320192287012,ZAR,0.5218,ZAR,0.5113,ZAR,0.407545181020338,ZAR,,,0.7272048648339219,ZAR,0.7996680044380252,ZAR,9.5942,ZAR,,,,
ZED,Zeder Investments Limited,0.00974025974025974,ZAR,-0.2734,ZAR,-0.2742,ZAR,,,,,-0.014935064935064935,ZAR,,,1.5039,ZAR,,,,
QFH,Quantum Foods Holdings Ltd,34.9741378537698,ZAR,1.3785,ZAR,1.3705,ZAR,1.51375371208016,ZAR,0.23466052785409042,ZAR,4.791626056876297,ZAR,,,11.79918,ZAR,,,,
OAS,Oasis Crescent Property Fund,2.3796749406592,ZAR,1.9157,ZAR,1.9157,ZAR,1.32054243218521,ZAR,,,1.4322812243746197,ZAR,1.4342784657140675,ZAR,28.7761,ZAR,,,,
SCD,Schroder European Real Estate Investment Trust Plc,3.0496422240565537,ZAR,0.33897217391304346,ZAR,0.33897217391304346,ZAR,0.9523377490012559,ZAR,,,1.4156255068252612,ZAR,1.4156255068252612,ZAR,24.323708104347826,ZAR,,,,
NVS,Novus Holdings Ltd.,13.4370234935084,ZAR,0.7793,ZAR,0.7355,ZAR,2.93431271333768,ZAR,2.7092063100676813,ZAR,0.9256073830568197,ZAR,1.7880735045985452,ZAR,7.39953,ZAR,,,,
GML,Gemfields Group Limited,1.39926445774532,ZAR,-0.484,ZAR,-0.484,ZAR,0.176775071839972,ZAR,-0.21774375545419383,ZAR,-0.30797487458472245,ZAR,0.023335104786330642,ZAR,3.23919,ZAR,,,,
UPL,Universal Partners Ltd.,0.002241515854195105,ZAR,-0.23872572402044295,ZAR,-0.23872572402044295,ZAR,-0.24993602756772815,ZAR,,,-0.08193169489638402,ZAR,-0.08193169489638402,ZAR,26.159159454855196,ZAR,1.352323923469072,ZAR,0.24521417958895994,ZAR
MMP,Marshall Monteagle PLC,41.8209959777956,ZAR,3.059,ZAR,3.059,ZAR,-3.24647131034717,ZAR,-3.526421630926878,ZAR,-0.7647412366132553,ZAR,-0.7532359422166343,ZAR,43.76988,ZAR,,,,
ACL,ArcelorMittal South Africa Limited,28.9705988650737,ZAR,-2.7023,ZAR,-2.7023,ZAR,-0.0206349686877673,ZAR,-0.9213962105363929,ZAR,-3.823749415098448,ZAR,-2.7462451805763375,ZAR,-0.38489,ZAR,,,,
EMN,eMedia Holdings Limited Class N,6.88562105184301,ZAR,0.5076,ZAR,0.5076,ZAR,1.42080330328676,ZAR,0.7487259034352685,ZAR,0.9464449786383637,ZAR,1.1730876433014361,ZAR,6.55863,ZAR,,,,
EMH,eMedia Holdings Limited,6.88562105184301,ZAR,0.5076,ZAR,0.5076,ZAR,1.42080330328676,ZAR,0.7487259034352685,ZAR,0.9464449786383637,ZAR,1.1730876433014361,ZAR,6.55863,ZAR,,,,
CPR,Copper 360 Limited,0.161380868716409,ZAR,-0.4292,ZAR,-0.4292,ZAR,-0.143156805810264,ZAR,-0.11352773451426668,ZAR,-0.549459089197909,ZAR,-0.5228557666277398,ZAR,0.25626,ZAR,,,,
EPS,Eastern Platinum Limited,5.130804767249501,ZAR,-1.5449976666666667,ZAR,-1.5449976666666667,ZAR,-0.4910867307497223,ZAR,-0.8182834376876634,ZAR,-0.974803286200618,ZAR,-0.8480286066123832,ZAR,5.245710066666667,ZAR,5.196797620218221,ZAR,0.0144527870463614,ZAR
BRN,Brimstone Investment Corporation Limited Class N,1.71894324094588,ZAR,0.182,ZAR,0.1624,ZAR,-0.0723247770036591,ZAR,-0.09617683035717513,ZAR,0.11569970071219546,ZAR,,,12.65397,ZAR,,,,
TPC,Transpaco Limited,86.6461216748012,ZAR,5.0127,ZAR,5.0127,ZAR,9.48587662918452,ZAR,6.63470044671959,ZAR,7.202457180452386,ZAR,7.93002346172265,ZAR,35.96713,ZAR,,,,
SSK,Stefanutti Stocks Holdings Limited,43.5857256028869,ZAR,1.0585,ZAR,1.0435,ZAR,-0.956909900349956,ZAR,-2.10982493928901,ZAR,2.0802625790748484,ZAR,2.799584995264041,ZAR,0.41508,ZAR,,,,
DNB,Deneb Investments Limited,9.11907961404591,ZAR,0.3586,ZAR,0.353,ZAR,0.64219280081068,ZAR,0.5288562365070273,ZAR,0.6169846235185267,ZAR,,,4.39836,ZAR,,,,
ACT,AfroCentric Investment Corporation Limited,8.92252666908039,ZAR,-1.5626,ZAR,-1.5658,ZAR,0.908223634552042,ZAR,0.7903799454307847,ZAR,0.3491939524174186,ZAR,0.8209865380043225,ZAR,2.32435,ZAR,,,,
APF,Accelerate Property Fund Ltd.,0.431163170470023,ZAR,-0.521,ZAR,-0.521,ZAR,0.0324802671556249,ZAR,,,-0.270734617234974,ZAR,-0.2645769207883883,ZAR,1.85581,ZAR,,,,
MTA,Metair Investments Limited,91.7939738237535,ZAR,-2.3227,ZAR,-2.3227,ZAR,6.38218244841269,ZAR,4.3753272543702995,ZAR,4.47783100247723,ZAR,7.630238659137583,ZAR,11.35143,ZAR,,,,
SNV,Santova Limited,6.22575235327759,ZAR,1.0418,ZAR,1.0292,ZAR,1.49425011978917,ZAR,1.4605082152186344,ZAR,1.2897584122911416,ZAR,1.6452076603242807,ZAR,10.1733,ZAR,,,,
BCF,Bowler Metcalf Limited,14.3816937853603,ZAR,1.9163,ZAR,1.9163,ZAR,3.83028522140842,ZAR,2.860766340657573,ZAR,2.2721810446910222,ZAR,2.759396517696592,ZAR,13.36929,ZAR,,,,
EPE,EPE Capital Partners Ltd. Class A,1.39507783659642,ZAR,0.7099,ZAR,0.7099,ZAR,-0.286196456824983,ZAR,,,1.3432974588354785,ZAR,1.3432974588354785,ZAR,7.90446,ZAR,,,,
YRK,York Timber Holdings Limited,4.23384755850711,ZAR,0.6744,ZAR,0.6744,ZAR,0.322736590954116,ZAR,0.13003781320792096,ZAR,1.0398266105067315,ZAR,1.282841072551401,ZAR,6.73943,ZAR,,,,
GPL,Grand Parade Investments Limited,0.000776969864334509,ZAR,0.1228,ZAR,0.1228,ZAR,0.0438870959815212,ZAR,0.043887095981521226,ZAR,-0.11105520464496924,ZAR,,,2.69016,ZAR,,,,
MST,Mustek Limited,130.482850422072,ZAR,1.3206,ZAR,1.3206,ZAR,1.11390968907643,ZAR,0.9367681585355553,ZAR,1.9357178158510249,ZAR,3.1966758502299304,ZAR,29.30417,ZAR,,,,
NTU,Nutun Limited,2.7463516929885,ZAR,-0.3034,ZAR,-0.3034,ZAR,-0.378675233434348,ZAR,,,0.6030753717658129,ZAR,,,1.7799,ZAR,,,,
TEX,Texton Property Fund Limited,0.821847542870993,ZAR,0.3063,ZAR,0.3063,ZAR,0.272950372659516,ZAR,,,0.2582439556444283,ZAR,0.2826274010785918,ZAR,5.02594,ZAR,,,,
SZK,SAB Zenzele Kabili Holdings (RF) Limited,5.4610453250006,ZAR,17.8564,ZAR,17.8564,ZAR,4.09764577419502,ZAR,,,35.11145038858239,ZAR,35.11145038858239,ZAR,67.91478,ZAR,,,,
ENX,enX Group Limited,,,,,,,,,,,,,,,5.23921,ZAR,,,,
ADR,Adcorp Holdings Limited,120.270550950706,ZAR,1.5917,ZAR,1.5332,ZAR,1.04981357365151,ZAR,1.0345247541043514,ZAR,1.884480260366633,ZAR,2.523337845358537,ZAR,14.43679,ZAR,,,,
RMH,RMB Holdings Limited,0.00963819850132638,ZAR,-0.1816,ZAR,-0.1816,ZAR,-0.0177935972332179,ZAR,,,-0.032621594927566215,ZAR,-0.032621594927566215,ZAR,0.48649,ZAR,,,,
NWL,Nu-World Holdings Limited,112.394857391721,ZAR,4.4324,ZAR,4.4324,ZAR,-2.45990508265584,ZAR,-2.4823805859315264,ZAR,5.486299412745132,ZAR,5.9876387638298825,ZAR,75.11362,ZAR,,,,
FGL,Finbond Group Limited,3.07034621845927,ZAR,0.1987,ZAR,0.1987,ZAR,0.772484115876174,ZAR,,,0.2700144144370315,ZAR,0.5522151998041812,ZAR,1.48979,ZAR,,,,
HLM,Hulamin Limited,42.298182637264,ZAR,-0.4784,ZAR,-0.4784,ZAR,0.919924136088972,ZAR,-0.930624433746877,ZAR,0.36059127893455223,ZAR,0.9359891694705462,ZAR,11.29378,ZAR,,,,
PBT,PBT Holdings Limited,11.1806595502915,ZAR,0.7068,ZAR,0.7068,ZAR,1.06155512579182,ZAR,1.0568836220927764,ZAR,1.4079340945071344,ZAR,1.4700029519578963,ZAR,2.46199,ZAR,,,,
AEG,Aveng Limited,217.58373238883,ZAR,-5.4221,ZAR,-5.4221,ZAR,11.9771154287046,ZAR,7.340977913175933,ZAR,-1.468459634424981,ZAR,3.996197486671744,ZAR,16.57849,ZAR,,,,
SEP,Sephaku Holdings Limited,5.35825155828037,ZAR,0.3359,ZAR,0.3359,ZAR,0.54966844506308,ZAR,0.35712066797378933,ZAR,0.46515787453927115,ZAR,0.6649733732886325,ZAR,5.74568,ZAR,,,,
NRL,Newpark REIT Ltd.,1.2783099872169,ZAR,0.4965,ZAR,0.4965,ZAR,0.5965499940345,ZAR,,,0.8709499912905001,ZAR,0.8727399912726002,ZAR,5.86193,ZAR,,,,
CGR,Calgro M3 Holdings Limited,8.38650202028447,ZAR,1.5332,ZAR,1.5169,ZAR,-0.844617564230761,ZAR,-0.8539065975552518,ZAR,1.558605901679489,ZAR,1.6010475889231273,ZAR,15.56319,ZAR,,,,
4SI,4Sight Holdings Limited,1.83289047375332,ZAR,0.0891,ZAR,0.0871,ZAR,0.0846752149564602,ZAR,0.07663421455424148,ZAR,0.09594781055388213,ZAR,0.10504892966413268,ZAR,0.69001,ZAR,,,,
ANI,Afine Investments Limited,0.71849219259495,ZAR,1.0028,ZAR,1.0028,ZAR,0.497716607419552,ZAR,,,0.6350800771776063,ZAR,0.6350800771776063,ZAR,4.64792,ZAR,,,,
ISA,ISA Holdings Limited,1.00004950495049,ZAR,0.1945,ZAR,0.1945,ZAR,0.20490099009901,ZAR,0.20488684582743988,ZAR,0.19894625176803393,ZAR,,,0.42591,ZAR,,,,
VUN,Vunani Limited,4.82778388517269,ZAR,-0.0439,ZAR,-0.0439,ZAR,0.0456005018415348,ZAR,,,0.2681187774444589,ZAR,0.4312980180985919,ZAR,1.74409,ZAR,,,,
