Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Basic earnings per share, Trailing 12 months","Basic earnings per share, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
SSW,Sibanye Stillwater Limited,45.8130826791947,ZAR,-1.8268,ZAR,-1.8268,ZAR,7.81716172060227,ZAR,0.6429807172909173,ZAR,8.879846334674289,ZAR,12.536710842739282,ZAR,13.96399,ZAR,,,,
NPH,Northam Platinum Holdings Limited,103.194295901017,ZAR,23.259,ZAR,22.9372,ZAR,24.0605730170815,ZAR,10.851279493878632,ZAR,19.69494385167924,ZAR,23.91649500224866,ZAR,99.7006,ZAR,,,,
BID,Bid Corporation Limited,724.500917758175,ZAR,26.2038,ZAR,26.1264,ZAR,39.3619531319612,ZAR,22.5217529478155,ZAR,38.85579019275892,ZAR,50.161546229469245,ZAR,138.82483,ZAR,,,,
SOL,Sasol Limited,384.032277282992,ZAR,3.7082,ZAR,3.7082,ZAR,52.248692305888,ZAR,22.684885683575576,ZAR,66.57631272541056,ZAR,87.26389362780375,ZAR,232.99323,ZAR,,,,
SOLBE1,BEE - Sasol Limited,384.032277282992,ZAR,3.7082,ZAR,3.7082,ZAR,52.248692305888,ZAR,22.684885683575576,ZAR,66.57631272541056,ZAR,87.26389362780375,ZAR,232.99323,ZAR,,,,
NED,Nedbank Group,181.02016375613357,ZAR,16.7318,ZAR,16.4007,ZAR,239.286117878609,ZAR,210.260384140638,ZAR,,,,,249.55521,ZAR,,,,
INP,Investec plc,58.98420454315383,ZAR,17.371739478260867,ZAR,17.371739478260867,ZAR,63.86338376361172,ZAR,,,,,,,141.77639749565216,ZAR,,,,
INPPR,Investec PLC Pref. (Rand),58.98420454315383,ZAR,17.371739478260867,ZAR,17.371739478260867,ZAR,63.86338376361172,ZAR,,,,,,,141.77639749565216,ZAR,,,,
OUT,OUTsurance Group Limited,27.1114490217619,ZAR,3.2444,ZAR,3.225,ZAR,6.49446392462964,ZAR,6.295792929834408,ZAR,,,,,8.79802,ZAR,,,,
REM,Remgro Limited,93.9758095635558,ZAR,8.6573,ZAR,8.6573,ZAR,17.5144503343926,ZAR,13.794630750175315,ZAR,5.799177146768185,ZAR,8.223895134933047,ZAR,214.81188,ZAR,,,,
RNI,Reinet Investments S.C.A.,124.800976565106,ZAR,12.8634,ZAR,12.8634,ZAR,7.40960871846815,ZAR,,,26.63160550055005,ZAR,26.63160550055005,ZAR,742.44445,ZAR,,,,
KIO,Kumba Iron Ore Limited,224.151231657997,ZAR,45.5702,ZAR,45.4335,ZAR,84.2436107720726,ZAR,53.062190911009914,ZAR,84.72232063735062,ZAR,103.88625777656422,ZAR,171.52077,ZAR,,,,
NRP,NEPI Rockcastle N.V,26.2338133101635,ZAR,14.1647,ZAR,14.1424,ZAR,,,,,16.187556411182502,ZAR,16.27862162897689,ZAR,137.08201,ZAR,,,,
N91,Ninety One Plc,19.788969839404633,ZAR,4.273387130434782,ZAR,4.257022956521739,ZAR,5.788995952474222,ZAR,,,5.346180963572268,ZAR,5.743094398746572,ZAR,10.619413773913042,ZAR,,,,
NY1,Ninety One Ltd.,19.9850805787175,ZAR,4.3127,ZAR,4.2959,ZAR,5.61764175520964,ZAR,,,5.397508685608686,ZAR,5.798617729267729,ZAR,10.55073,ZAR,,,,
