Symbol,Description,"Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency","Dividend yield %, Trailing 12 months",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth
APN,Aspen Pharmacare Holdings Limited,2.11,ZAR,,,1.49730343457281,1.4973034345728073,0,-41.22562674094708,5,0
OMU,Old Mutual Ltd.,0.93,ZAR,,,6.92607003891051,7.237354085603114,47.20812182741117,8.139534883720938,8,3
CLS,Clicks Group Limited,8.86,ZAR,2.58,ZAR,3.58995137763371,3.6709886547811994,64.13160428110312,14.17525773195876,29,20
GRT,Growthpoint Properties Limited,1.243,ZAR,,,7.82004830917874,7.820048309178744,84.85126457869218,6.148590947907776,24,1
SHC,Shaftesbury Capital PLC,0.8981333333333333,ZAR,,,3.09597523219814,3.205444055944056,22.234574763757642,7.886347633130451,5,4
QLT,Quilter Plc,1.41456,ZAR,,,3.47298787210584,3.5330521091811415,70.94594594594594,0.800591750446054,8,3
PHP,Primary Health Properties PLC,1.5941866666666664,ZAR,,,7.64262648008611,7.946593090211132,105.34124629080117,-2.863197873793785,29,2
EXX,Exxaro Resources Limited,18.43,ZAR,10,ZAR,8.06132075471698,8.693396226415095,57.989710995390396,10.890493381468103,24,1
MTM,Momentum Group Limited,1.75,ZAR,1.1,ZAR,5.37923614846692,5.3792361484669176,43.410314290675466,40,7,4
WHL,Woolworths Holdings Limited,1.88,ZAR,1.18,ZAR,3.95076434385547,3.9507643438554694,102.35572471967905,-29.19020715630885,30,0
SNT,Santam Limited,16.8,ZAR,10.9,ZAR,4.30702968774035,4.307029687740347,45.197375323847275,10.526315789473696,5,4
RDF,Redefine Properties Limited,0.45838,ZAR,,,7.29904458598726,6.953152866242037,52.764180437695394,7.800597820846593,5,1
TBS,Tiger Brands Limited,16.44,ZAR,12.29,ZAR,5.75086577815091,5.750865778150908,66.22810021230055,58.99419729206965,46,5
