symbol,description,sector,price,volume_1d,liquidity_value_1d,coverage_score,perf_1m,perf_3m,perf_6m,perf_1y,perf_ytd,revenue_growth_ttm,eps_growth_ttm,roe_ttm,net_margin_ttm,operating_margin_ttm,fcf_margin_ttm,debt_to_equity,vol_1m,momentum_score,fundamental_growth_score,quality_score,risk_score,growth_potential_score_aggressive,rank
FIDELITYBK,Fidelity Bank PLC,Finance,22.9,5207728.0,119256971.19999999,1.0,15.656565656565643,16.243654822335024,20.209973753280828,13.930348258706452,20.52631578947368,42.04219479890961,-43.8487989510922,23.591285051036,22.94236929497164,34.3304826559301,10.384519611544423,0.825352982931036,7.43893508563661,59.583333333333336,50.0,58.23863636363636,18.958333333333336,56.48579545454546,51
UNIONDICON,Union Dicon Salt Plc,Consumer non-durables,21.7,914495.0,19844541.5,0.7857142857142857,44.66666666666666,3.827751196172252,244.44444444444443,191.27516778523488,239.0625,,55.94109681787407,,-309.95263370502,-489.84883880081054,1135.9490765104035,,0.3545232273838629,73.84615384615384,37.5,33.333333333333336,61.53846153846154,56.10714285714285,52
FIDSON,Fidson Healthcare Ltd.,Health technology,124.6,1893370.0,235913902.0,1.0,24.599999999999994,59.74358974358973,211.5,360.5220605220605,128.62385321100916,26.243323778627012,31.54190470581306,34.2456640850983,8.38338290361909,21.5732829840852,7.370869455621522,0.7752112409723599,0.0317460317460309,84.0,12.5,47.916666666666664,55.0,55.8375,53
UNIVINSURE,Universal Insurance Plc,Finance,1.08,4046673.0,4370406.84,0.7857142857142857,-12.903225806451609,-25.85376149737834,-5.040782565944888,108.17982480742498,-10.534290706992993,2088.2527021456985,,26.4638677754102,18.4275290229593,18.8480071988277,,,7.053930238158632,24.166666666666668,100.0,52.5,14.583333333333334,55.64880952380953,54
TRANSEXPR,Trans Nationwide Express Plc,Transportation,7.06,671998.0,4744305.88,1.0,41.2,228.3720930232558,228.3720930232558,253.0,228.3720930232558,-28.67297903247464,4.545454545454537,-95.96610387647455,-56.6841991169122,-56.5889305965977,-70.94310130409484,0.0,0.5687126092999246,90.00000000000003,18.333333333333332,0.0,83.33333333333333,55.33333333333334,55
BUAFOODS,BUA Foods PLC,Process industries,967.0,82311.0,79594737.0,1.0,21.17794486215539,21.041431968957323,39.63898916967509,131.3397129186603,21.041431968957323,10.23669460195073,50.49854709133381,74.1788074740973,29.7750195138838,33.172233165668,19.632399028523835,0.450294114165466,1.3322676295501878e-15,35.0,51.9047619047619,83.47985347985347,48.214285714285715,55.16483516483516,56
DEAPCAP,DEAP Capital Management & Trust Plc,Finance,5.77,5157636.0,29759559.72,0.8571428571428571,27.937915742793788,-38.94179894179894,218.7845303867403,477.0,188.5,1234.822006472492,-337.7245508982036,,-309.95263370502,-489.84883880081054,,0.3666047770927549,4.861787755851634,77.5,48.75,0.0,46.458333333333336,54.967261904761905,57
BETAGLAS,Beta Glass Plc.,Process industries,570.0,528345.0,301156650.0,1.0,14.343029087261783,38.3495145631068,54.054054054054056,193.36078229541943,54.054054054054056,8.227605695707863,41.15405420024884,35.0047825738263,21.5210663237418,28.5880815868681,-2.268565023041329,0.360623790532179,-2.6945112807652553e-15,45.0,45.0,59.67948717948719,64.28571428571428,54.63049450549451,58
MAYBAKER,May & Baker Nigeria Plc,Health technology,43.0,1587447.0,68260221.0,1.0,23.563218390804607,6.172839506172839,145.014245014245,248.17813765182183,126.3157894736842,16.153774255231955,116.26899820232065,35.1709721967776,12.2890384046075,17.1425168878004,17.253093629733293,0.279092823933001,0.7906623804355629,60.0,25.0,62.5,57.5,53.625,59
MULTIVERSE,Multiverse Mining & Exploration PLC,Non-energy minerals,25.65,261533.0,6708321.449999999,1.0,27.29528535980149,-8.392857142857148,155.2238805970149,159.0909090909091,75.08532423208189,16.105813031766424,105.81411600279522,42.7247625479261,62.734129943243,65.0535882431733,39.99576172074138,0.136448465273908,-5.412337245047638e-16,35.0,37.5,81.25,75.0,53.1875,60
DANGSUGAR,Dangote Sugar Refinery PLC,Process industries,91.0,776201.0,70634291.0,1.0,48.48112877299032,22.64155571379461,62.81723775796872,148.51052078847857,54.8098326223309,6.101269770033766,85.55701089794626,-12.6251006938241,-2.64813142334574,16.1356269326126,6.130313332367685,4.23590747142663,2.094752793653094,48.75,59.52380952380952,31.520146520146522,22.32142857142857,51.879807692307686,61
CORNERST,Cornerstone Insurance PLC,Finance,6.0,346810.0,2080860.0,0.9285714285714286,11.111111111111104,-2.439024390243908,-1.6393442622950762,90.47619047619048,0.671140939597316,49.44028497436188,-65.46158812136862,13.516751721478,12.4449389655291,21.0303774826159,15.730415567377252,,4.301668748404008,47.5,48.47222222222222,39.753787878787875,54.166666666666664,51.83211580086579,62
GEREGU,Geregu Power Plc,Utilities,1132.5,1774.0,2009055.0,1.0,0.0,-0.7884362680683311,-0.7884362680683311,10.229706054117178,-0.7884362680683311,44.707936394788334,-19.11392269798357,36.9314778561943,11.0394627259789,21.3482674123906,11.499373689011392,0.96622343630647,-6.661338147750939e-16,27.26618705035971,56.98697203551573,57.281620010977804,60.54822808419931,51.286322888347215,63
MEYER,Meyer PLC,Process industries,21.55,1053802.0,22709433.1,1.0,15.549597855227896,3.1100478468899624,33.436532507739955,123.3160621761658,66.40926640926642,22.578159299751626,5.165721110779343,24.5952360184932,11.9744759702381,7.21005568808841,15.99261621077362,0.0007945450298425,1.047851903597626,33.75,50.95238095238095,45.46703296703297,70.53571428571428,50.97184065934066,64
EUNISELL,Eunisell Interlinked Plc,Producer manufacturing,174.9,1065070.0,186280743.0,1.0,2.9126213592233112,21.50052101424107,140.24725274725276,1526.9767441860463,38.80952380952382,-31.298593086274217,-71.68470681984195,16.9868215416751,8.69322904777697,13.8279719014743,15.20369708376582,0.561603912635669,0.681605975723621,71.79856115107916,10.389179321218156,47.04271263904291,50.069944044764185,50.309651499576006,65
CADBURY,Cadbury Nigeria PLC,Consumer non-durables,72.45,1466838.0,106272413.10000001,1.0,0.625000000000004,9.772727272727275,22.900763358778622,84.58598726114651,22.79661016949153,20.82381466356823,239.4853875476493,71.108578034736,5.65278455826335,9.56921274378477,10.347912296464669,1.08763005867094,1.308910876455179,36.92307692307693,58.75,38.535353535353536,39.23076923076923,50.25145687645687,66
TANTALIZER,Tantalizers PLC,Consumer services,4.44,1232092.0,5470488.48,0.9285714285714286,11.00000000000001,-22.37762237762237,106.51162790697676,85.77405857740587,70.76923076923077,11.307518430939536,,3.77378349811641,8.09515664430253,-13.7657121810404,52.15081440822289,1.54354777970191,6.681960852644208,57.5,37.5,52.23214285714286,6.25,49.120535714285715,67
NB,Nigerian Breweries PLC,Consumer non-durables,93.0,2670413.0,248348409.0,0.9285714285714286,25.84573748308524,12.048192771084338,32.762312633832984,75.80340264650283,23.58803986710964,21.19293592580042,,19.6766613073114,7.38191322849596,13.5601431072929,14.749489094935692,0.0909623911551135,2.2375284816199184,43.07692307692308,40.0,50.83333333333333,47.69230769230769,48.756868131868124,68
NEIMETH,Neimeth International Pharmaceuticals PLC,Health technology,9.95,1701942.0,16934322.9,0.9285714285714286,8.152173913043478,-25.18796992481204,99.95340623430886,252.8589518862102,83.00820230991368,57.43851676692464,,48.5798216604807,13.8401650100667,22.6330063855095,1.085510075629614,3.4675109662161,3.630350206964483,32.0,50.0,83.33333333333333,0.0,47.98571428571428,69
ETRANZACT,eTranzact International Plc,Commercial services,18.5,282055.0,5218017.5,1.0,-9.75609756097561,-31.2267657992565,39.62264150943396,242.59259259259255,62.99559471365639,8.21489562566406,-25.118247448344533,16.9803235001757,8.70408447557995,11.3148308497364,44.76600784017685,0.0075960632372826,0.793958998094838,42.877697841726615,26.470832296075017,51.67949678106952,71.21302957633893,47.82167140822114,70
DANGCEM,Dangote Cement PLC,Non-energy minerals,1180.0,2556395.0,3016546100.0,1.0,45.67901234567901,62.46730001376843,98.65319865319866,168.1818181818182,93.76026272577997,20.01719596184956,88.74632912538407,43.9510494873198,24.779909522609,41.2388081179102,18.350130164074805,0.233960372493644,0.384294470423721,55.0,37.5,31.25,25.0,47.6875,71
TRANSCORP,Transnational Corporation of Nigeria PLC,Utilities,43.25,2236975.0,96749168.75,1.0,-7.978723404255319,-15.196078431372548,-4.101995565410203,-2.918069584736245,-4.735682819383257,13.496935378323588,90.96608156262371,39.0282236508297,16.7861524044654,37.8589140491771,17.814307469530252,0.298169243481139,2.725670822442315,15.683453237410072,57.26910629823251,70.01533852778938,44.68092192912337,47.64033349464402,72
OANDO,Oando PLC,Energy minerals,47.0,3862299.0,181528053.0,0.8571428571428571,6.818181818181818,17.5,14.355231143552308,-5.642042785417557,16.91542288557213,-22.055094801521847,359.7940432331661,,7.60388703555149,-3.09186622513744,-3.2193480568628705,,3.7699680296472415,44.74820143884892,51.84631980748485,25.20204663061806,30.935251798561154,46.66102719171997,73
ACCESSCORP,Access Holdings Plc,Finance,25.9,8060649.0,208770809.1,1.0,-0.3846153846153901,7.246376811594203,13.34792122538292,21.59624413145539,17.99544419134396,11.921429703880952,-17.54669699824052,21.0663298492654,22.416104114987142,37.937060730336434,-49.32641201872635,1.92009444395264,6.1484503215041375,50.0,30.833333333333336,48.03030303030303,18.541666666666664,45.80871212121212,74
JAPAULGOLD,Japaul Gold & Ventures PLC,Transportation,3.34,5118010.0,17094153.4,0.9285714285714286,1.2121212121212133,36.32653061224488,48.44444444444444,62.13592233009708,43.34763948497853,8.126276993662763,,6.03054745895561,24.979100057214,22.878358518718,15.19480810868419,0.372052297732213,5.81333783790465,30.0,50.0,62.5,10.0,45.160714285714285,75
CHAMPION,Champion Breweries PLC,Consumer non-durables,14.5,445259.0,6456255.5,1.0,-3.333333333333333,-15.451895043731772,0.0,123.76543209876544,-3.973509933774832,42.63564889582147,103.45879959308242,14.2431785995104,6.00679235136588,16.2898403275911,2.0077332314371,4.51523013978027,3.447058049935308,15.384615384615387,82.5,25.505050505050505,5.0,44.460372960372965,76
PRESTIGE,Prestige Assurance Co. Plc,Finance,1.41,718513.0,1013103.33,1.0,1.4388489208633106,-11.87500000000001,5.223880597014913,45.36082474226804,-10.19108280254778,29.70972379254297,-83.70527807297202,3.07587395190424,2.1520596751122,1.04403827219694,0.2823755400784065,9.55285335925e-05,3.370540129416137,37.91666666666667,34.30555555555555,17.215909090909093,73.54166666666667,43.49905303030303,77
TRANSPOWER,Transcorp Power PLC,Utilities,272.7,29065.0,7926025.5,1.0,-9.970287223506103,-11.143695014662754,-11.40350877192983,-16.986301369863018,-11.172638436482089,12.777709275276289,-1.3083813717416473,50.6273223011277,22.7360863932631,33.1920075078806,7.031305975556849,0.163381788987034,-9.992007221626409e-16,11.798561151079136,36.026055928968546,68.81238028027019,78.03756994404476,43.06292721801327,78
UCAP,United Capital Plc,Finance,18.2,923568.0,16808937.599999998,1.0,10.975609756097564,-11.219512195121954,2.247191011235947,0.0,-2.412868632707771,6.38438636444222,-25.31358811931032,19.6015338475723,14.2145729195537,84.24993047774413,126.90173207896338,7.4802921891556,4.333031468568802,36.45833333333333,24.166666666666664,68.17234848484848,26.041666666666668,42.8404356060606,79
